compression_rate,d_prime,d_prime_raw,hit_rate,fa_rate,chi2,p,n_trials
0.1,1.14***,1.1425300165321632,0.297,0.047,12.35,0.000,128
0.2,0.92**,0.91734198432841,0.289,0.070,8.96,0.003,128
0.3,0.95**,0.9514253392810784,0.234,0.047,7.82,0.005,128
0.4,0.48,0.47905725735322224,0.188,0.086,2.00,0.157,128
0.5,0.56,0.5578504015676222,0.148,0.055,2.14,0.143,128
0.6,0.13,0.12884654710419996,0.117,0.094,0.02,0.886,128
0.7,0.56,0.5562230004120045,0.164,0.062,2.35,0.125,128
