trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
39,tønde_compressed.wav,neutral,tønde,nonsens,babble_55.wav,krise_reversed.wav,røver_reversed.wav,0,0,0,0,0,-1,-1,0,,,left,2.200920999981463,left,1,tønde,nonsens,3475,001,2025-12-06_13-56-49,
35,intim_compressed.wav,positive,intim,musik,babble_70.wav,hage_reversed.wav,flirte_reversed.wav,0,1,1,1,0,-1,-1,0,,,left,1.1763446999830194,left,1,intim,musik,3475,001,2025-12-06_13-56-49,
28,diamant_compressed.wav,positive,diamant,spise,babble_13.wav,kærtegn_reversed.wav,papir_reversed.wav,0,2,2,2,0,-1,-1,0,,,right,2.8457174000213854,left,0,diamant,spise,3475,001,2025-12-06_13-56-49,
7,pervers_compressed.wav,negative,pervers,genert,babble_1.wav,sygdom_reversed.wav,blomstre_reversed.wav,0,3,3,3,0,-1,-1,0,,,right,0.8954822000232525,right,1,genert,pervers,3475,001,2025-12-06_13-56-49,
88,syndig_compressed.wav,negative,syndig,forår,babble_32.wav,marked_reversed.wav,sollys_reversed.wav,0,4,4,4,0,-1,-1,0,,,left,1.5388706999947317,left,1,syndig,forår,3475,001,2025-12-06_13-56-49,
17,vandfald_compressed.wav,positive,vandfald,genert,babble_87.wav,latter_reversed.wav,bange_reversed.wav,,,,,0,0,0,0,,,right,0.9718305999995209,right,1,genert,vandfald,3475,001,2025-12-06_13-56-49,
87,oprør_compressed.wav,negative,oprør,hånlig,babble_93.wav,måned_reversed.wav,gratis_reversed.wav,,,,,0,1,1,1,,,right,2.9953256999724545,right,1,hånlig,oprør,3475,001,2025-12-06_13-56-49,
49,skønhed_compressed.wav,positive,skønhed,forår,babble_82.wav,blodig_reversed.wav,leder_reversed.wav,,,,,0,2,2,2,,,left,0.7307119999895804,left,1,skønhed,forår,3475,001,2025-12-06_13-56-49,
50,syndig_compressed.wav,negative,syndig,trofæ,babble_41.wav,fremskridt_reversed.wav,frygtsom_reversed.wav,,,,,0,3,3,3,,,right,0.9056115000275895,right,1,trofæ,syndig,3475,001,2025-12-06_13-56-49,
52,tønde_compressed.wav,neutral,tønde,kande,babble_11.wav,baby_reversed.wav,patent_reversed.wav,,,,,0,4,4,4,,,right,1.3383003000053577,right,1,kande,tønde,3475,001,2025-12-06_13-56-49,
19,nøgle_compressed.wav,neutral,nøgle,boble,babble_95.wav,genert_reversed.wav,violin_reversed.wav,,,,,0,5,5,5,,,right,1.0815694000339136,right,1,boble,nøgle,3475,001,2025-12-06_13-56-49,
21,opstemt_compressed.wav,positive,opstemt,accept,babble_18.wav,ugle_reversed.wav,fase_reversed.wav,,,,,0,6,6,6,,,right,1.325629899976775,right,1,accept,opstemt,3475,001,2025-12-06_13-56-49,
15,boble_compressed.wav,neutral,boble,væmmes,babble_18.wav,selvmord_reversed.wav,succes_reversed.wav,,,,,0,7,7,7,,,left,1.3791483999812044,left,1,boble,væmmes,3475,001,2025-12-06_13-56-49,
11,knude_compressed.wav,neutral,knude,røver,babble_63.wav,feber_reversed.wav,kedel_reversed.wav,,,,,0,8,8,8,,,right,1.7554098999826238,right,1,røver,knude,3475,001,2025-12-06_13-56-49,
86,hage_compressed.wav,neutral,hage,lyse,babble_74.wav,feber_reversed.wav,nonsens_reversed.wav,,,,,0,9,9,9,,,left,1.875944699975662,right,0,lyse,hage,3475,001,2025-12-06_13-56-49,
