trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
33,flirte_compressed.wav,positive,flirte,festlig,babble_18.wav,trofæ_reversed.wav,lækker_reversed.wav,0,0,0,0,0,-1,-1,0,,,left,6.47893045800447,left,1,flirte,festlig,5050,001,2025-11-26_21-14-16,
7,pjece_compressed.wav,neutral,pjece,redning,babble_56.wav,humor_reversed.wav,rigdom_reversed.wav,0,1,1,1,0,-1,-1,0,,,right,1.9698161669948604,right,1,redning,pjece,5050,001,2025-11-26_21-14-16,
16,spise_compressed.wav,positive,spise,trussel,babble_24.wav,pjece_reversed.wav,konge_reversed.wav,0,2,2,2,0,-1,-1,0,,,left,0.7900040420063306,left,1,spise,trussel,5050,001,2025-11-26_21-14-16,
89,opstemt_compressed.wav,positive,opstemt,måned,babble_7.wav,glæde_reversed.wav,lækker_reversed.wav,0,3,3,3,0,-1,-1,0,,,left,2.2397246670007007,left,1,opstemt,måned,5050,001,2025-11-26_21-14-16,
37,fængsel_compressed.wav,negative,fængsel,ferie,babble_94.wav,patent_reversed.wav,dollar_reversed.wav,0,4,4,4,0,-1,-1,0,,,left,2.442067625001073,left,1,fængsel,ferie,5050,001,2025-11-26_21-14-16,
27,nonsens_compressed.wav,neutral,nonsens,afskyr,babble_9.wav,himmel_reversed.wav,engel_reversed.wav,,,,,0,0,0,0,,,left,1.1290391249931417,left,1,nonsens,afskyr,5050,001,2025-11-26_21-14-16,
10,nedbrud_compressed.wav,negative,nedbrud,illoyal,babble_57.wav,beskidt_reversed.wav,voldtægt_reversed.wav,,,,,0,1,1,1,,,right,2.950763624990941,right,1,illoyal,nedbrud,5050,001,2025-11-26_21-14-16,
57,enhed_compressed.wav,neutral,enhed,morder,babble_73.wav,selvmord_reversed.wav,røver_reversed.wav,,,,,0,2,2,2,,,left,3.8386662080010865,left,1,enhed,morder,5050,001,2025-11-26_21-14-16,
34,skønhed_compressed.wav,positive,skønhed,rotte,babble_11.wav,ketchup_reversed.wav,patent_reversed.wav,,,,,0,3,3,3,,,left,3.3641649589990266,left,1,skønhed,rotte,5050,001,2025-11-26_21-14-16,
66,baby_compressed.wav,positive,baby,plakat,babble_79.wav,vindue_reversed.wav,kiste_reversed.wav,,,,,0,4,4,4,,,left,0.9751034159999108,left,1,baby,plakat,5050,001,2025-11-26_21-14-16,
43,plakat_compressed.wav,neutral,plakat,avis,babble_11.wav,festlig_reversed.wav,pervers_reversed.wav,,,,,0,5,5,5,,,right,5.141867124999408,left,0,plakat,avis,5050,001,2025-11-26_21-14-16,
