trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
82,genert_compressed.wav,neutral,genert,forfald,babble_91.wav,varme_reversed.wav,dæmpet_reversed.wav,,,,,0,22,22,22,,,left,0.7978708999999071,left,1,genert,forfald,1738,001,2025-11-27_14-18-26,
6,grimme_compressed.wav,negative,grimme,glæde,babble_53.wav,grimme_reversed.wav,ugle_reversed.wav,,,,,0,23,23,23,,,right,0.5976011999991897,right,1,glæde,grimme,1738,001,2025-11-27_14-18-26,
85,albue_compressed.wav,neutral,albue,knude,babble_32.wav,sæde_reversed.wav,giftig_reversed.wav,,,,,0,24,24,24,,,left,2.6476144999996905,left,1,albue,knude,1738,001,2025-11-27_14-18-26,
59,fjendtlig_compressed.wav,negative,fjendtlig,kage,babble_41.wav,morder_reversed.wav,luksus_reversed.wav,,,,,0,25,25,25,,,right,0.5242730000009033,right,1,kage,fjendtlig,1738,001,2025-11-27_14-18-26,
16,leder_compressed.wav,positive,leder,respekt,babble_10.wav,pude_reversed.wav,hånlig_reversed.wav,,,,,0,26,26,26,,,right,0.7934671000002709,right,1,respekt,leder,1738,001,2025-11-27_14-18-26,
57,opstemt_compressed.wav,positive,opstemt,hjerte,babble_49.wav,ensom_reversed.wav,sæde_reversed.wav,,,,,0,27,27,27,,,left,0.8935130999998364,left,1,opstemt,hjerte,1738,001,2025-11-27_14-18-26,
12,engel_compressed.wav,positive,engel,flirte,babble_14.wav,måned_reversed.wav,selvmord_reversed.wav,,,,,0,28,28,28,,,left,1.1882793999993737,left,1,engel,flirte,1738,001,2025-11-27_14-18-26,
23,musik_compressed.wav,positive,musik,ugle,babble_47.wav,taber_reversed.wav,viden_reversed.wav,,,,,0,29,29,29,,,right,1.3740617999992537,right,1,ugle,musik,1738,001,2025-11-27_14-18-26,
34,beundret_compressed.wav,positive,beundret,forkert,babble_95.wav,humor_reversed.wav,trofæ_reversed.wav,,,,,0,30,30,30,,,left,0.398614899999302,left,1,beundret,forkert,1738,001,2025-11-27_14-18-26,
37,bygning_compressed.wav,neutral,bygning,hage,babble_47.wav,ketchup_reversed.wav,taber_reversed.wav,,,,,0,31,31,31,,,right,0.4021069999998872,right,1,hage,bygning,1738,001,2025-11-27_14-18-26,
65,rabies_compressed.wav,negative,rabies,jubel,babble_91.wav,albue_reversed.wav,blodig_reversed.wav,,,,,0,32,32,32,,,left,1.5412124000013137,left,1,rabies,jubel,1738,001,2025-11-27_14-18-26,
26,talent_compressed.wav,positive,talent,lækker,babble_66.wav,vandal_reversed.wav,drukne_reversed.wav,,,,,0,33,33,33,,,right,4.05664170000091,right,1,lækker,talent,1738,001,2025-11-27_14-18-26,
67,vandal_compressed.wav,negative,vandal,søsyg,babble_43.wav,konge_reversed.wav,smerte_reversed.wav,,,,,0,34,34,34,,,left,1.8207736000003933,right,0,søsyg,vandal,1738,001,2025-11-27_14-18-26,
81,dæmon_compressed.wav,negative,dæmon,gratis,babble_77.wav,fiasko_reversed.wav,finger_reversed.wav,,,,,0,35,35,35,,,right,0.49535370000012335,right,1,gratis,dæmon,1738,001,2025-11-27_14-18-26,
14,bryllup_compressed.wav,positive,bryllup,skade,babble_59.wav,selvmord_reversed.wav,skyldig_reversed.wav,,,,,0,36,36,36,,,right,0.39097880000008445,right,1,skade,bryllup,1738,001,2025-11-27_14-18-26,
73,ankel_compressed.wav,neutral,ankel,viden,babble_96.wav,blodig_reversed.wav,forfald_reversed.wav,,,,,0,37,37,37,,,left,0.5148736999999528,left,1,ankel,viden,1738,001,2025-11-27_14-18-26,
11,konkurs_compressed.wav,negative,konkurs,udskud,babble_8.wav,misbrug_reversed.wav,bygning_reversed.wav,,,,,0,38,38,38,,,right,1.557973499999207,right,1,udskud,konkurs,1738,001,2025-11-27_14-18-26,
77,bange_compressed.wav,negative,bange,skuffe,babble_24.wav,magisk_reversed.wav,patent_reversed.wav,,,,,0,39,39,39,,,left,0.5464159999992262,left,1,bange,skuffe,1738,001,2025-11-27_14-18-26,
4,nonne_compressed.wav,neutral,nonne,ære,babble_82.wav,dæmon_reversed.wav,vinde_reversed.wav,,,,,0,40,40,40,,,right,0.4038907999984076,right,1,ære,nonne,1738,001,2025-11-27_14-18-26,
