trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
48,skammel_compressed.wav,neutral,skammel,slave,babble_9.wav,baby_reversed.wav,djævel_reversed.wav,0,0,0,0,0,-1,-1,0,right,1.6547729969024658,right,1,slave,skammel,2244,001,2025-11-28_12-31-12,
16,varme_compressed.wav,positive,varme,røver,babble_73.wav,festlig_reversed.wav,kugle_reversed.wav,0,1,1,1,0,-1,-1,0,right,2.368525981903076,left,0,varme,røver,2244,001,2025-11-28_12-31-12,
9,ketchup_compressed.wav,neutral,ketchup,mave,babble_25.wav,stjerne_reversed.wav,dollar_reversed.wav,0,2,2,2,0,-1,-1,0,right,0.5980288982391357,right,1,mave,ketchup,2244,001,2025-11-28_12-31-12,
66,oprørt_compressed.wav,negative,oprørt,kærtegn,babble_27.wav,væmmes_reversed.wav,ønske_reversed.wav,0,3,3,3,0,-1,-1,0,left,1.8168540000915527,right,0,kærtegn,oprørt,2244,001,2025-11-28_12-31-12,
40,sandhed_compressed.wav,positive,sandhed,dæmpet,babble_2.wav,statue_reversed.wav,dæmpet_reversed.wav,0,4,4,4,0,-1,-1,0,right,1.4780340194702148,left,0,sandhed,dæmpet,2244,001,2025-11-28_12-31-12,
78,syndig_compressed.wav,negative,syndig,statue,babble_59.wav,knude_reversed.wav,slagtning_reversed.wav,,,,,0,0,0,0,right,1.8707771301269531,right,1,statue,syndig,2244,001,2025-11-28_12-31-12,
56,genstand_compressed.wav,neutral,genstand,kysse,babble_18.wav,knude_reversed.wav,poesi_reversed.wav,,,,,0,1,1,1,right,0.5023961067199707,right,1,kysse,genstand,2244,001,2025-11-28_12-31-12,
59,smerte_compressed.wav,negative,smerte,sandhed,babble_23.wav,kande_reversed.wav,feber_reversed.wav,,,,,0,2,2,2,left,0.8576140403747559,left,1,smerte,sandhed,2244,001,2025-11-28_12-31-12,
26,modgang_compressed.wav,negative,modgang,stjerne,babble_76.wav,mester_reversed.wav,venlig_reversed.wav,,,,,0,3,3,3,right,0.6805360317230225,right,1,stjerne,modgang,2244,001,2025-11-28_12-31-12,
7,afskyr_compressed.wav,negative,afskyr,plakat,babble_72.wav,vinde_reversed.wav,skuffe_reversed.wav,,,,,0,4,4,4,right,0.9979000091552734,right,1,plakat,afskyr,2244,001,2025-11-28_12-31-12,
