signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.3,spænding_compressed.wav,spænding,bab10.wav,frygtsom_reversed.wav,maling_reversed.wav,,,,,0,132,132,132,,,m,0.9351499169999897,Hit,1.2503210113443077,victor1,001,2025-11-13_13-47-52,
present,0.4,ærlig_compressed.wav,ærlig,bab6.wav,kiste_reversed.wav,hage_reversed.wav,,,,,0,133,133,133,,,m,0.40412608299993735,Hit,1.461861276977006,victor1,001,2025-11-13_13-47-52,
absent,0.6,SILENCE,NA,bab10.wav,mester_reversed.wav,fiasko_reversed.wav,,,,,0,134,134,134,,,z,1.4158983329998591,Correct Rejection,0.8445022611985503,victor1,001,2025-11-13_13-47-52,
absent,0.3,SILENCE,NA,bab4.wav,luksus_reversed.wav,søsyg_reversed.wav,,,,,0,135,135,135,,,m,5.307259584000121,False Alarm,1.164134897015499,victor1,001,2025-11-13_13-47-52,
absent,0.6,SILENCE,NA,bab6.wav,himmel_reversed.wav,maling_reversed.wav,,,,,0,136,136,136,,,z,0.6156318339999416,Correct Rejection,0.9746355243362164,victor1,001,2025-11-13_13-47-52,
absent,0.6,SILENCE,NA,bab13.wav,patent_reversed.wav,brænde_reversed.wav,,,,,0,137,137,137,,,z,1.5382630839999365,Correct Rejection,0.6634833417020278,victor1,001,2025-11-13_13-47-52,
present,0.6,rådden_compressed.wav,rådden,bab9.wav,frihed_reversed.wav,tilfreds_reversed.wav,,,,,0,138,138,138,,,m,0.8938584999998511,Hit,1.0400365701580423,victor1,001,2025-11-13_13-47-52,
present,0.5,papir_compressed.wav,papir,bab10.wav,grusom_reversed.wav,traume_reversed.wav,,,,,0,139,139,139,,,m,0.7516448750000109,Hit,0.7379783519806085,victor1,001,2025-11-13_13-47-52,
absent,0.1,SILENCE,NA,bab6.wav,bifald_reversed.wav,feber_reversed.wav,,,,,0,140,140,140,,,z,0.5715534169999046,Correct Rejection,0.8244811822204702,victor1,001,2025-11-13_13-47-52,
absent,0.2,SILENCE,NA,bab6.wav,sejre_reversed.wav,fængsel_reversed.wav,,,,,0,141,141,141,,,z,1.3744675829998414,Correct Rejection,1.01434616270544,victor1,001,2025-11-13_13-47-52,
