signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.7,djævel_compressed.wav,djævel,babble_46.wav,dæmpet_reversed.wav,hånlig_reversed.wav,,,,,0,132,132,132,,,m,0.26841545800562017,Hit,1.2711802304049167,johan_new,001,2025-11-16_23-36-49,
present,0.3,kvæles_compressed.wav,kvæles,babble_48.wav,brænde_reversed.wav,pude_reversed.wav,,,,,0,133,133,133,,,z,0.46063520899770083,Miss,0.9553458746270138,johan_new,001,2025-11-16_23-36-49,
present,0.5,fedme_compressed.wav,fedme,babble_36.wav,accept_reversed.wav,passion_reversed.wav,,,,,0,134,134,134,,,m,0.31174379200092517,Hit,0.6389566569163556,johan_new,001,2025-11-16_23-36-49,
absent,0.1,SILENCE,NA,babble_10.wav,sollys_reversed.wav,regnbue_reversed.wav,,,,,0,135,135,135,,,z,1.4037162910026382,Correct Rejection,1.1335873069050733,johan_new,001,2025-11-16_23-36-49,
absent,0.5,SILENCE,NA,babble_37.wav,fjendtlig_reversed.wav,skyldig_reversed.wav,,,,,0,136,136,136,,,z,1.4853536669979803,Correct Rejection,1.086343062034776,johan_new,001,2025-11-16_23-36-49,
present,0.1,ankel_compressed.wav,ankel,babble_45.wav,ledning_reversed.wav,kæle_reversed.wav,,,,,0,137,137,137,,,z,1.4698194579978008,Miss,0.5240050674663267,johan_new,001,2025-11-16_23-36-49,
present,0.3,taxa_compressed.wav,taxa,babble_37.wav,affald_reversed.wav,grimme_reversed.wav,,,,,0,138,138,138,,,m,0.7286659580058767,Hit,0.9517305379422589,johan_new,001,2025-11-16_23-36-49,
absent,0.1,SILENCE,NA,babble_9.wav,brænde_reversed.wav,kage_reversed.wav,,,,,0,139,139,139,,,z,0.7886894999974174,Correct Rejection,0.7108879452676361,johan_new,001,2025-11-16_23-36-49,
present,0.1,fase_compressed.wav,fase,babble_17.wav,oprørt_reversed.wav,røver_reversed.wav,,,,,0,140,140,140,,,m,0.5352921250014333,Hit,1.3871576511161865,johan_new,001,2025-11-16_23-36-49,
present,0.5,kiste_compressed.wav,kiste,babble_42.wav,fedme_reversed.wav,selvmord_reversed.wav,,,,,0,141,141,141,,,z,0.5699230000027455,Miss,0.5638994984593276,johan_new,001,2025-11-16_23-36-49,
absent,0.7,SILENCE,NA,babble_49.wav,dollar_reversed.wav,plakat_reversed.wav,,,,,0,142,142,142,,,z,0.3399485830013873,Correct Rejection,1.117738476898545,johan_new,001,2025-11-16_23-36-49,
absent,0.2,SILENCE,NA,babble_42.wav,sygdom_reversed.wav,knude_reversed.wav,,,,,0,143,143,143,,,z,1.1916325839993078,Correct Rejection,1.2515885690835473,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_28.wav,fængsel_reversed.wav,nedbrud_reversed.wav,,,,,0,144,144,144,,,z,0.5039552500020363,Correct Rejection,1.450920000160818,johan_new,001,2025-11-16_23-36-49,
present,0.3,voldsom_compressed.wav,voldsom,babble_17.wav,ønske_reversed.wav,koldbrand_reversed.wav,,,,,0,145,145,145,,,m,0.33453062499756925,Hit,1.210870097504675,johan_new,001,2025-11-16_23-36-49,
absent,0.6,SILENCE,NA,babble_43.wav,regnbue_reversed.wav,bygning_reversed.wav,,,,,0,146,146,146,,,z,0.42553641699487343,Correct Rejection,1.2239658279936854,johan_new,001,2025-11-16_23-36-49,
present,0.2,hjerte_compressed.wav,hjerte,babble_13.wav,trussel_reversed.wav,kærtegn_reversed.wav,,,,,0,147,147,147,,,m,0.3076113749993965,Hit,0.9971625205827812,johan_new,001,2025-11-16_23-36-49,
present,0.5,voldtægt_compressed.wav,voldtægt,babble_10.wav,passion_reversed.wav,passion_reversed.wav,,,,,0,148,148,148,,,m,0.30062958400230855,Hit,1.35714882809056,johan_new,001,2025-11-16_23-36-49,
absent,0.3,SILENCE,NA,babble_34.wav,hjerte_reversed.wav,drukne_reversed.wav,,,,,0,149,149,149,,,z,0.5410319169968716,Correct Rejection,1.1117723907565475,johan_new,001,2025-11-16_23-36-49,
present,0.2,sandhed_compressed.wav,sandhed,babble_27.wav,rådden_reversed.wav,væmmes_reversed.wav,,,,,0,150,150,150,,,m,0.2440995409997413,Hit,0.5135663582298265,johan_new,001,2025-11-16_23-36-49,
present,0.7,tumor_compressed.wav,tumor,babble_46.wav,rædsel_reversed.wav,rådden_reversed.wav,,,,,0,151,151,151,,,m,0.32469787500303937,Hit,0.6306858691423861,johan_new,001,2025-11-16_23-36-49,
absent,0.1,SILENCE,NA,babble_10.wav,røver_reversed.wav,genert_reversed.wav,,,,,0,152,152,152,,,z,0.3901901670033112,Correct Rejection,0.9696537674660154,johan_new,001,2025-11-16_23-36-49,
