trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
13,gaffel_compressed.wav,neutral,gaffel,kontor,babble_61.wav,varme_reversed.wav,viden_reversed.wav,,,,,0,22,22,22,left,0.7254199981689453,left,1,gaffel,kontor,50701,1,2025-11-28_11-41-58
54,banner_compressed.wav,neutral,banner,finger,babble_37.wav,bygning_reversed.wav,festlig_reversed.wav,,,,,0,23,23,23,right,1.3523991107940674,right,1,finger,banner,50701,1,2025-11-28_11-41-58
7,ydmyg_compressed.wav,neutral,ydmyg,viden,babble_99.wav,gade_reversed.wav,latter_reversed.wav,,,,,0,24,24,24,left,1.584022045135498,left,1,ydmyg,viden,50701,1,2025-11-28_11-41-58
46,venlig_compressed.wav,positive,venlig,enhed,babble_59.wav,brænde_reversed.wav,pude_reversed.wav,,,,,0,25,25,25,right,1.0655131340026855,right,1,enhed,venlig,50701,1,2025-11-28_11-41-58
67,taber_compressed.wav,negative,taber,flirte,babble_77.wav,drukne_reversed.wav,diamant_reversed.wav,,,,,0,26,26,26,left,1.313188076019287,left,1,taber,flirte,50701,1,2025-11-28_11-41-58
49,hånlig_compressed.wav,negative,hånlig,lækker,babble_77.wav,konge_reversed.wav,konkurs_reversed.wav,,,,,0,27,27,27,left,1.6428461074829102,left,1,hånlig,lækker,50701,1,2025-11-28_11-41-58
51,lækker_compressed.wav,positive,lækker,forår,babble_26.wav,rabies_reversed.wav,pervers_reversed.wav,,,,,0,28,28,28,left,0.5091390609741211,left,1,lækker,forår,50701,1,2025-11-28_11-41-58
82,skønhed_compressed.wav,positive,skønhed,avis,babble_2.wav,skammel_reversed.wav,skade_reversed.wav,,,,,0,29,29,29,left,0.845815896987915,left,1,skønhed,avis,50701,1,2025-11-28_11-41-58
28,redning_compressed.wav,positive,redning,luksus,babble_55.wav,måned_reversed.wav,trussel_reversed.wav,,,,,0,30,30,30,left,1.0424020290374756,left,1,redning,luksus,50701,1,2025-11-28_11-41-58
78,kande_compressed.wav,neutral,kande,vandfald,babble_52.wav,motor_reversed.wav,kiste_reversed.wav,,,,,0,31,31,31,right,1.2911078929901123,right,1,vandfald,kande,50701,1,2025-11-28_11-41-58
