signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.2,SILENCE,NA,bab4.wav,motor_reversed.wav,forfald_reversed.wav,,,,,0,92,92,92,,,z,0.38935912499982805,Correct Rejection,1.0045808284681612,johanv1,001,2025-11-13_16-36-05,
absent,0.5,SILENCE,NA,bab13.wav,luksus_reversed.wav,kontor_reversed.wav,,,,,0,93,93,93,,,z,0.32857987499937735,Correct Rejection,1.4744558270353032,johanv1,001,2025-11-13_16-36-05,
absent,0.5,SILENCE,NA,bab20.wav,koldbrand_reversed.wav,sejre_reversed.wav,,,,,0,94,94,94,,,m,0.9607328749998487,False Alarm,1.1466541823535574,johanv1,001,2025-11-13_16-36-05,
present,0.5,røver_compressed.wav,røver,bab21.wav,mester_reversed.wav,djævel_reversed.wav,,,,,0,95,95,95,,,m,0.24537099999997736,Hit,1.4882282851291544,johanv1,001,2025-11-13_16-36-05,
absent,0.7,SILENCE,NA,bab4.wav,tilfreds_reversed.wav,statue_reversed.wav,,,,,0,96,96,96,,,z,1.4609557920002771,Correct Rejection,1.206981989266649,johanv1,001,2025-11-13_16-36-05,
absent,0.2,SILENCE,NA,bab15.wav,blomstre_reversed.wav,respekt_reversed.wav,,,,,0,97,97,97,,,m,5.1937622080004076,False Alarm,0.8875068187615496,johanv1,001,2025-11-13_16-36-05,
absent,0.6,SILENCE,NA,bab20.wav,bombe_reversed.wav,oprør_reversed.wav,,,,,0,98,98,98,,,m,1.6855900000000474,False Alarm,0.7125145474332785,johanv1,001,2025-11-13_16-36-05,
present,0.1,albue_compressed.wav,albue,bab20.wav,leder_reversed.wav,spise_reversed.wav,,,,,0,99,99,99,,,m,0.119361583000682,Hit,1.0745555794809762,johanv1,001,2025-11-13_16-36-05,
present,0.5,festlig_compressed.wav,festlig,bab15.wav,fremskridt_reversed.wav,konkurs_reversed.wav,,,,,0,100,100,100,,,m,1.2500335409995387,Hit,0.7664495819355858,johanv1,001,2025-11-13_16-36-05,
absent,0.2,SILENCE,NA,bab20.wav,opstemt_reversed.wav,viden_reversed.wav,,,,,0,101,101,101,,,z,1.016348499999367,Correct Rejection,0.9328331843662974,johanv1,001,2025-11-13_16-36-05,
present,0.4,ønske_compressed.wav,ønske,bab6.wav,konge_reversed.wav,dollar_reversed.wav,,,,,0,102,102,102,,,m,1.6946034169995983,Hit,0.9577291402548016,johanv1,001,2025-11-13_16-36-05,
absent,0.2,SILENCE,NA,bab4.wav,taber_reversed.wav,pervers_reversed.wav,,,,,0,103,103,103,,,z,1.4631038749994332,Correct Rejection,0.5468059589592621,johanv1,001,2025-11-13_16-36-05,
present,0.1,væmmes_compressed.wav,væmmes,bab13.wav,slagtning_reversed.wav,varme_reversed.wav,,,,,0,104,104,104,,,m,0.3088994999998249,Hit,0.9039590965007541,johanv1,001,2025-11-13_16-36-05,
present,0.2,voldtægt_compressed.wav,voldtægt,bab5.wav,rabies_reversed.wav,maling_reversed.wav,,,,,0,105,105,105,,,m,0.6114443750002465,Hit,0.7398769426131199,johanv1,001,2025-11-13_16-36-05,
absent,0.2,SILENCE,NA,bab20.wav,statue_reversed.wav,kiste_reversed.wav,,,,,0,106,106,106,,,z,1.5408746659995813,Correct Rejection,0.6302499393412391,johanv1,001,2025-11-13_16-36-05,
present,0.4,drukne_compressed.wav,drukne,bab5.wav,nøgle_reversed.wav,finger_reversed.wav,,,,,0,107,107,107,,,z,1.2817715000001044,Miss,0.6117193770865138,johanv1,001,2025-11-13_16-36-05,
absent,0.7,SILENCE,NA,bab6.wav,banner_reversed.wav,rabies_reversed.wav,,,,,0,108,108,108,,,z,0.8424277909998636,Correct Rejection,0.8873854492173119,johanv1,001,2025-11-13_16-36-05,
present,0.5,mester_compressed.wav,mester,bab14.wav,rabies_reversed.wav,mave_reversed.wav,,,,,0,109,109,109,,,m,0.735109499999453,Hit,1.243569086068169,johanv1,001,2025-11-13_16-36-05,
absent,0.4,SILENCE,NA,bab15.wav,festlig_reversed.wav,pjece_reversed.wav,,,,,0,110,110,110,,,z,0.6475808750001306,Correct Rejection,1.177776210608774,johanv1,001,2025-11-13_16-36-05,
absent,0.3,SILENCE,NA,bab10.wav,redskab_reversed.wav,hader_reversed.wav,,,,,0,111,111,111,,,z,0.8639695000001666,Correct Rejection,1.4440539594942812,johanv1,001,2025-11-13_16-36-05,
absent,0.6,SILENCE,NA,bab13.wav,hjerte_reversed.wav,luksus_reversed.wav,,,,,0,112,112,112,,,z,0.8510416659992188,Correct Rejection,0.7536524297534009,johanv1,001,2025-11-13_16-36-05,
present,0.3,succes_compressed.wav,succes,bab10.wav,tilfreds_reversed.wav,spise_reversed.wav,,,,,0,113,113,113,,,m,0.6438718749996042,Hit,0.8066333746617876,johanv1,001,2025-11-13_16-36-05,
absent,0.7,SILENCE,NA,bab9.wav,frygtsom_reversed.wav,pude_reversed.wav,,,,,0,114,114,114,,,z,0.957209375000275,Correct Rejection,0.7372123792816222,johanv1,001,2025-11-13_16-36-05,
present,0.1,bifald_compressed.wav,bifald,bab4.wav,lærer_reversed.wav,hader_reversed.wav,,,,,0,115,115,115,,,m,1.8332105839999713,Hit,0.8038480957148996,johanv1,001,2025-11-13_16-36-05,
present,0.6,selvmord_compressed.wav,selvmord,bab15.wav,tilfreds_reversed.wav,sollys_reversed.wav,,,,,0,116,116,116,,,m,0.2508949170005508,Hit,0.8219592228536965,johanv1,001,2025-11-13_16-36-05,
present,0.3,skønhed_compressed.wav,skønhed,bab13.wav,tilfreds_reversed.wav,giftig_reversed.wav,,,,,0,117,117,117,,,m,0.7777987079998638,Hit,1.3981883822596441,johanv1,001,2025-11-13_16-36-05,
present,0.6,vandfald_compressed.wav,vandfald,bab6.wav,søsyg_reversed.wav,poesi_reversed.wav,,,,,0,118,118,118,,,m,0.25195954100036033,Hit,1.1082525008751096,johanv1,001,2025-11-13_16-36-05,
absent,0.6,SILENCE,NA,bab5.wav,spænding_reversed.wav,væmmes_reversed.wav,,,,,0,119,119,119,,,z,17.71356054199987,Correct Rejection,1.2206774906820899,johanv1,001,2025-11-13_16-36-05,
present,0.6,vindue_compressed.wav,vindue,bab9.wav,trofæ_reversed.wav,syndig_reversed.wav,,,,,0,120,120,120,,,m,0.6102253749995725,Hit,1.2861891049070828,johanv1,001,2025-11-13_16-36-05,
present,0.1,papir_compressed.wav,papir,bab4.wav,lyse_reversed.wav,vindue_reversed.wav,,,,,0,121,121,121,,,m,0.37422208299994963,Hit,0.8199346015223272,johanv1,001,2025-11-13_16-36-05,
absent,0.5,SILENCE,NA,bab9.wav,trofæ_reversed.wav,diamant_reversed.wav,,,,,0,122,122,122,,,z,1.0483719579997341,Correct Rejection,1.1443886596889017,johanv1,001,2025-11-13_16-36-05,
absent,0.3,SILENCE,NA,bab6.wav,bygning_reversed.wav,flirte_reversed.wav,,,,,0,123,123,123,,,z,0.6573930829999881,Correct Rejection,0.9978238281131333,johanv1,001,2025-11-13_16-36-05,
absent,0.3,SILENCE,NA,bab20.wav,trussel_reversed.wav,himlen_reversed.wav,,,,,0,124,124,124,,,z,0.8809408329998405,Correct Rejection,0.9111972444027522,johanv1,001,2025-11-13_16-36-05,
absent,0.4,SILENCE,NA,bab4.wav,magisk_reversed.wav,oprør_reversed.wav,,,,,0,125,125,125,,,z,0.8370304170002782,Correct Rejection,0.6253182562709956,johanv1,001,2025-11-13_16-36-05,
present,0.1,himlen_compressed.wav,himlen,bab21.wav,violin_reversed.wav,violin_reversed.wav,,,,,0,126,126,126,,,m,0.46582533399941894,Hit,1.013507140516356,johanv1,001,2025-11-13_16-36-05,
present,0.2,væmmes_compressed.wav,væmmes,bab14.wav,skønhed_reversed.wav,kontor_reversed.wav,,,,,0,127,127,127,,,m,2.2673312500000975,Hit,1.3671146296683918,johanv1,001,2025-11-13_16-36-05,
absent,0.7,SILENCE,NA,bab20.wav,væmmes_reversed.wav,djævel_reversed.wav,,,,,0,128,128,128,,,z,0.750174832999619,Correct Rejection,0.6801999291055287,johanv1,001,2025-11-13_16-36-05,
