trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date,
57,latter_compressed.wav,positive,latter,spænding,babble_67.wav,trofæ_reversed.wav,kontor_reversed.wav,0,0,0,0,0,-1,-1,0,right,12.187562942504883,right,1,spænding,latter,1119,001,2025-11-28_15-35-59,
45,penge_compressed.wav,positive,penge,varme,babble_73.wav,metal_reversed.wav,respekt_reversed.wav,0,1,1,1,0,-1,-1,0,left,1.812169075012207,left,1,penge,varme,1119,001,2025-11-28_15-35-59,
19,ketchup_compressed.wav,neutral,ketchup,magisk,babble_33.wav,metal_reversed.wav,albue_reversed.wav,0,2,2,2,0,-1,-1,0,left,0.679541826248169,left,1,ketchup,magisk,1119,001,2025-11-28_15-35-59,
32,kage_compressed.wav,positive,kage,rigdom,babble_84.wav,smerte_reversed.wav,skammel_reversed.wav,0,3,3,3,0,-1,-1,0,left,0.4386708736419678,left,1,kage,rigdom,1119,001,2025-11-28_15-35-59,
78,diamant_compressed.wav,positive,diamant,kugle,babble_10.wav,museum_reversed.wav,maling_reversed.wav,0,4,4,4,0,-1,-1,0,left,0.674278974533081,left,1,diamant,kugle,1119,001,2025-11-28_15-35-59,
73,syndig_compressed.wav,negative,syndig,redning,babble_70.wav,festlig_reversed.wav,kedel_reversed.wav,,,,,0,0,0,0,left,0.8920400142669678,left,1,syndig,redning,1119,001,2025-11-28_15-35-59,
7,lyse_compressed.wav,positive,lyse,heldig,babble_28.wav,gidsel_reversed.wav,passion_reversed.wav,,,,,0,1,1,1,left,0.5892550945281982,left,1,lyse,heldig,1119,001,2025-11-28_15-35-59,
74,sandhed_compressed.wav,positive,sandhed,motor,babble_84.wav,nonne_reversed.wav,succes_reversed.wav,,,,,0,2,2,2,left,0.46278905868530273,left,1,sandhed,motor,1119,001,2025-11-28_15-35-59,
10,spænding_compressed.wav,positive,spænding,viden,babble_89.wav,hånlig_reversed.wav,banner_reversed.wav,,,,,0,3,3,3,right,0.46689414978027344,right,1,viden,spænding,1119,001,2025-11-28_15-35-59,
8,ugle_compressed.wav,neutral,ugle,baby,babble_36.wav,blomstre_reversed.wav,dæmpet_reversed.wav,,,,,0,4,4,4,right,0.9578549861907959,right,1,baby,ugle,1119,001,2025-11-28_15-35-59,
75,syndig_compressed.wav,negative,syndig,fremskridt,babble_11.wav,sindssyg_reversed.wav,venlig_reversed.wav,,,,,0,5,5,5,left,1.2438039779663086,left,1,syndig,fremskridt,1119,001,2025-11-28_15-35-59,
