compression_rate,d_prime,d_prime_raw,hit_rate,fa_rate,chi2,p,n_trials
0.1,1.36***,1.3562237604925402,0.306,0.031,19.65,0.000,160
0.2,1.51***,1.506201794370175,0.325,0.025,22.90,0.000,160
0.3,1.44***,1.4446214388276926,0.263,0.019,17.70,0.000,160
0.4,1.09***,1.0861737659889426,0.244,0.037,12.43,0.000,160
0.5,1.28***,1.2825016064000372,0.212,0.019,12.85,0.000,160
0.6,0.95**,0.9499738152904724,0.156,0.025,6.84,0.009,160
0.7,1.11***,1.1073168410611822,0.225,0.031,11.76,0.001,160
