trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
119,AM28NES.JPG,fase_compressed.wav,neutral,babble_90.wav,trussel_reversed.wav,tumor_reversed.wav,0,0,0,0,0,-1,-1,0,5,2.333895206451416,0810,001,2025-11-26_19-58-50,
113,AM30HAS.JPG,kage_compressed.wav,positive,babble_93.wav,ensom_reversed.wav,dæmpet_reversed.wav,0,1,1,1,0,-1,-1,0,4,2.146406650543213,0810,001,2025-11-26_19-58-50,
36,AM01NES.JPG,mester_compressed.wav,positive,babble_19.wav,giftig_reversed.wav,succes_reversed.wav,0,2,2,2,0,-1,-1,0,6,3.8543126583099365,0810,001,2025-11-26_19-58-50,
34,AM18HAS.JPG,SILENCE,no-prime,babble_58.wav,accept_reversed.wav,bygning_reversed.wav,0,3,3,3,0,-1,-1,0,9,0.5370705127716064,0810,001,2025-11-26_19-58-50,
167,AF27ANS.JPG,knude_compressed.wav,neutral,babble_15.wav,dæmon_reversed.wav,dæmpet_reversed.wav,0,4,4,4,0,-1,-1,0,5,2.0610852241516113,0810,001,2025-11-26_19-58-50,
75,AF19ANS.JPG,enhed_compressed.wav,neutral,babble_58.wav,skyldig_reversed.wav,væmmes_reversed.wav,0,5,5,5,0,-1,-1,0,7,2.368734359741211,0810,001,2025-11-26_19-58-50,
180,AF06NES.JPG,putte_compressed.wav,positive,babble_46.wav,baby_reversed.wav,trussel_reversed.wav,,,,,0,0,0,0,4,1.4707951545715332,0810,001,2025-11-26_19-58-50,
177,AM26ANS.JPG,taxa_compressed.wav,neutral,babble_40.wav,kedel_reversed.wav,genert_reversed.wav,,,,,0,1,1,1,5,2.659273147583008,0810,001,2025-11-26_19-58-50,
168,AM14ANS.JPG,musik_compressed.wav,positive,babble_29.wav,papir_reversed.wav,maling_reversed.wav,,,,,0,2,2,2,3,1.268362283706665,0810,001,2025-11-26_19-58-50,
45,AF29NES.JPG,frihed_compressed.wav,positive,babble_0.wav,natur_reversed.wav,baby_reversed.wav,,,,,0,3,3,3,6,2.348703145980835,0810,001,2025-11-26_19-58-50,
