trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
190,AF07HAS.JPG,frihed_compressed.wav,positive,babble_13.wav,ankel_reversed.wav,museum_reversed.wav,0,0,0,0,0,-1,-1,0,5,2.1364030838012695,1705,001,2025-11-17_06-26-00,
19,AM29NES.JPG,syndig_compressed.wav,negative,babble_4.wav,dollar_reversed.wav,magisk_reversed.wav,0,1,1,1,0,-1,-1,0,7,1.6532478332519531,1705,001,2025-11-17_06-26-00,
154,AM29HAS.JPG,motor_compressed.wav,neutral,babble_34.wav,drukne_reversed.wav,dollar_reversed.wav,0,2,2,2,0,-1,-1,0,6,1.1604630947113037,1705,001,2025-11-17_06-26-00,
86,AF16HAS.JPG,blomstre_compressed.wav,positive,babble_18.wav,krise_reversed.wav,patent_reversed.wav,0,3,3,3,0,-1,-1,0,5,4.868873119354248,1705,001,2025-11-17_06-26-00,
143,AF20NES.JPG,humor_compressed.wav,positive,babble_36.wav,sandhed_reversed.wav,fjendtlig_reversed.wav,0,4,4,4,0,-1,-1,0,4,2.33902907371521,1705,001,2025-11-17_06-26-00,
160,AF02ANS.JPG,slagtning_compressed.wav,negative,babble_6.wav,nonsens_reversed.wav,gave_reversed.wav,0,5,5,5,0,-1,-1,0,5,3.6921660900115967,1705,001,2025-11-17_06-26-00,
29,AM03NES.JPG,rabies_compressed.wav,negative,babble_23.wav,ketchup_reversed.wav,konge_reversed.wav,,,,,0,0,0,0,8,0.7843050956726074,1705,001,2025-11-17_06-26-00,
183,AF15NES.JPG,hånlig_compressed.wav,negative,babble_71.wav,ferie_reversed.wav,forkert_reversed.wav,,,,,0,1,1,1,9,0.7830488681793213,1705,001,2025-11-17_06-26-00,
51,AF17HAS.JPG,venlig_compressed.wav,positive,babble_26.wav,fremskridt_reversed.wav,papir_reversed.wav,,,,,0,2,2,2,9,0.8509259223937988,1705,001,2025-11-17_06-26-00,
49,AF30NES.JPG,SILENCE,no-prime,babble_8.wav,ankel_reversed.wav,motor_reversed.wav,,,,,0,3,3,3,4,0.05848979949951172,1705,001,2025-11-17_06-26-00,
81,AM14HAS.JPG,stjerne_compressed.wav,positive,babble_17.wav,oprørt_reversed.wav,ønske_reversed.wav,,,,,0,4,4,4,8,0.6511259078979492,1705,001,2025-11-17_06-26-00,
121,AF28HAS.JPG,skammel_compressed.wav,neutral,babble_87.wav,slagtning_reversed.wav,kærtegn_reversed.wav,,,,,0,5,5,5,9,1.111604928970337,1705,001,2025-11-17_06-26-00,
32,AM07HAS.JPG,pervers_compressed.wav,negative,babble_30.wav,beskidt_reversed.wav,kugle_reversed.wav,,,,,0,6,6,6,6,0.13218402862548828,1705,001,2025-11-17_06-26-00,
26,AM22HAS.JPG,kage_compressed.wav,positive,babble_45.wav,ensom_reversed.wav,grusom_reversed.wav,,,,,0,7,7,7,5,0.7856459617614746,1705,001,2025-11-17_06-26-00,
196,AM35HAS.JPG,sexet_compressed.wav,positive,babble_44.wav,skyldig_reversed.wav,borddug_reversed.wav,,,,,0,8,8,8,4,1.8109560012817383,1705,001,2025-11-17_06-26-00,
126,AM35NES.JPG,heldig_compressed.wav,positive,babble_3.wav,kærtegn_reversed.wav,sejre_reversed.wav,,,,,0,9,9,9,4,6.469449043273926,1705,001,2025-11-17_06-26-00,
152,AM28ANS.JPG,SILENCE,no-prime,babble_22.wav,nonne_reversed.wav,viden_reversed.wav,,,,,0,10,10,10,1,0.6132068634033203,1705,001,2025-11-17_06-26-00,
37,AM10ANS.JPG,traume_compressed.wav,negative,babble_42.wav,affald_reversed.wav,fedme_reversed.wav,,,,,0,11,11,11,1,0.16834402084350586,1705,001,2025-11-17_06-26-00,
47,AM18NES.JPG,drukne_compressed.wav,negative,babble_93.wav,brænde_reversed.wav,beskidt_reversed.wav,,,,,0,12,12,12,4,0.26085615158081055,1705,001,2025-11-17_06-26-00,
87,AM23NES.JPG,bifald_compressed.wav,positive,babble_41.wav,trussel_reversed.wav,selvmord_reversed.wav,,,,,0,13,13,13,3,1.0545718669891357,1705,001,2025-11-17_06-26-00,
101,AM07ANS.JPG,frelser_compressed.wav,positive,babble_88.wav,regnbue_reversed.wav,lampe_reversed.wav,,,,,0,14,14,14,1,0.2445828914642334,1705,001,2025-11-17_06-26-00,
134,AF06NES.JPG,himlen_compressed.wav,positive,babble_83.wav,blodig_reversed.wav,vandal_reversed.wav,,,,,0,15,15,15,2,1.7174351215362549,1705,001,2025-11-17_06-26-00,
119,AM15HAS.JPG,grusom_compressed.wav,negative,babble_28.wav,gidsel_reversed.wav,slagtning_reversed.wav,,,,,0,16,16,16,4,1.3463859558105469,1705,001,2025-11-17_06-26-00,
4,AM22NES.JPG,museum_compressed.wav,neutral,babble_2.wav,blomstre_reversed.wav,misbrug_reversed.wav,,,,,0,17,17,17,2,2.1853818893432617,1705,001,2025-11-17_06-26-00,
194,AM26HAS.JPG,frelser_compressed.wav,positive,babble_65.wav,beskidt_reversed.wav,accept_reversed.wav,,,,,0,18,18,18,1,1.0639128684997559,1705,001,2025-11-17_06-26-00,
40,AF25ANS.JPG,brutal_compressed.wav,negative,babble_39.wav,festlig_reversed.wav,sandhed_reversed.wav,,,,,0,19,19,19,2,1.808784008026123,1705,001,2025-11-17_06-26-00,
92,AM23HAS.JPG,engel_compressed.wav,positive,babble_37.wav,slagtning_reversed.wav,fiasko_reversed.wav,,,,,0,20,20,20,7,1.1851201057434082,1705,001,2025-11-17_06-26-00,
110,AF11HAS.JPG,traume_compressed.wav,negative,babble_89.wav,voldtægt_reversed.wav,succes_reversed.wav,,,,,0,21,21,21,8,2.6659369468688965,1705,001,2025-11-17_06-26-00,
198,AF34NES.JPG,intim_compressed.wav,positive,babble_7.wav,opstemt_reversed.wav,knude_reversed.wav,,,,,0,22,22,22,5,0.48744702339172363,1705,001,2025-11-17_06-26-00,
