trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
168,AM10HAS.JPG,dollar_compressed.wav,positive,babble_33.wav,ferie_reversed.wav,skade_reversed.wav,0,0,0,0,0,-1,-1,0,7,8.443059921264648,1119,001,2025-11-28_15-05-09,
190,AM21NES.JPG,natur_compressed.wav,positive,babble_23.wav,genert_reversed.wav,ugle_reversed.wav,0,1,1,1,0,-1,-1,0,2,1.1021230220794678,1119,001,2025-11-28_15-05-09,
175,AF22NES.JPG,SILENCE,no-prime,babble_14.wav,nonsens_reversed.wav,pude_reversed.wav,0,2,2,2,0,-1,-1,0,3,0.8366842269897461,1119,001,2025-11-28_15-05-09,
113,AF06ANS.JPG,vindue_compressed.wav,neutral,babble_62.wav,natur_reversed.wav,ferie_reversed.wav,0,3,3,3,0,-1,-1,0,1,4.090312957763672,1119,001,2025-11-28_15-05-09,
19,AF04ANS.JPG,himmel_compressed.wav,positive,babble_42.wav,gidsel_reversed.wav,trofæ_reversed.wav,0,4,4,4,0,-1,-1,0,4,2.391080856323242,1119,001,2025-11-28_15-05-09,
170,AF08ANS.JPG,SILENCE,no-prime,babble_79.wav,søsyg_reversed.wav,blomstre_reversed.wav,0,5,5,5,0,-1,-1,0,3,1.4744629859924316,1119,001,2025-11-28_15-05-09,
143,AM14HAS.JPG,pervers_compressed.wav,negative,babble_85.wav,ugle_reversed.wav,skade_reversed.wav,,,,,0,0,0,0,7,5.478457927703857,1119,001,2025-11-28_15-05-09,
196,AF21HAS.JPG,ønske_compressed.wav,positive,babble_54.wav,metal_reversed.wav,bygning_reversed.wav,,,,,0,1,1,1,6,2.195080041885376,1119,001,2025-11-28_15-05-09,
95,AF11ANS.JPG,skønhed_compressed.wav,positive,babble_62.wav,blodig_reversed.wav,koldbrand_reversed.wav,,,,,0,2,2,2,4,1.5760631561279297,1119,001,2025-11-28_15-05-09,
177,AM17ANS.JPG,SILENCE,no-prime,babble_87.wav,glæde_reversed.wav,statue_reversed.wav,,,,,0,3,3,3,2,0.9836838245391846,1119,001,2025-11-28_15-05-09,
105,AF26HAS.JPG,konkurs_compressed.wav,negative,babble_75.wav,lærer_reversed.wav,morder_reversed.wav,,,,,0,4,4,4,6,0.6064538955688477,1119,001,2025-11-28_15-05-09,
148,AM10NES.JPG,metal_compressed.wav,neutral,babble_35.wav,luksus_reversed.wav,redskab_reversed.wav,,,,,0,5,5,5,4,0.47353100776672363,1119,001,2025-11-28_15-05-09,
103,AM23HAS.JPG,voldtægt_compressed.wav,negative,babble_50.wav,natur_reversed.wav,flirte_reversed.wav,,,,,0,6,6,6,6,0.47019290924072266,1119,001,2025-11-28_15-05-09,
24,AM23NES.JPG,pude_compressed.wav,positive,babble_68.wav,smerte_reversed.wav,pervers_reversed.wav,,,,,0,7,7,7,4,1.6497118473052979,1119,001,2025-11-28_15-05-09,
145,AM33HAS.JPG,kæle_compressed.wav,positive,babble_35.wav,syndig_reversed.wav,trussel_reversed.wav,,,,,0,8,8,8,4,0.4918229579925537,1119,001,2025-11-28_15-05-09,
121,AF27HAS.JPG,afskyr_compressed.wav,negative,babble_50.wav,vindue_reversed.wav,magisk_reversed.wav,,,,,0,9,9,9,7,0.5437209606170654,1119,001,2025-11-28_15-05-09,
99,AM31ANS.JPG,hader_compressed.wav,negative,babble_65.wav,statue_reversed.wav,slagtning_reversed.wav,,,,,0,10,10,10,3,1.0419988632202148,1119,001,2025-11-28_15-05-09,
68,AM10ANS.JPG,SILENCE,no-prime,babble_10.wav,sejre_reversed.wav,skyldig_reversed.wav,,,,,0,11,11,11,1,0.883206844329834,1119,001,2025-11-28_15-05-09,
20,AF29HAS.JPG,fjendtlig_compressed.wav,negative,babble_63.wav,plakat_reversed.wav,skønhed_reversed.wav,,,,,0,12,12,12,6,0.685060977935791,1119,001,2025-11-28_15-05-09,
189,AM06NES.JPG,SILENCE,no-prime,babble_10.wav,bange_reversed.wav,dæmon_reversed.wav,,,,,0,13,13,13,4,0.6118919849395752,1119,001,2025-11-28_15-05-09,
47,AF13NES.JPG,SILENCE,no-prime,babble_8.wav,søsyg_reversed.wav,hage_reversed.wav,,,,,0,14,14,14,3,2.221798896789551,1119,001,2025-11-28_15-05-09,
197,AM25HAS.JPG,SILENCE,no-prime,babble_23.wav,putte_reversed.wav,jubel_reversed.wav,,,,,0,15,15,15,8,0.6628549098968506,1119,001,2025-11-28_15-05-09,
92,AM28ANS.JPG,fjollet_compressed.wav,positive,babble_79.wav,skyldig_reversed.wav,forpint_reversed.wav,,,,,0,16,16,16,3,0.3380758762359619,1119,001,2025-11-28_15-05-09,
66,AM01HAS.JPG,hjerte_compressed.wav,positive,babble_12.wav,ugle_reversed.wav,rabies_reversed.wav,,,,,0,17,17,17,6,0.4068319797515869,1119,001,2025-11-28_15-05-09,
14,AM14ANS.JPG,humor_compressed.wav,positive,babble_79.wav,sikker_reversed.wav,beskidt_reversed.wav,,,,,0,18,18,18,4,0.8051350116729736,1119,001,2025-11-28_15-05-09,
