trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
197,AM03NES.JPG,trofæ_compressed.wav,positive,babble_97.wav,frihed_reversed.wav,feber_reversed.wav,0,0,0,0,0,-1,-1,0,3,2.5418059825897217,4600,001,2025-11-17_07-47-22,
34,AF21HAS.JPG,lyse_compressed.wav,positive,babble_78.wav,frihed_reversed.wav,festlig_reversed.wav,0,1,1,1,0,-1,-1,0,9,0.9932389259338379,4600,001,2025-11-17_07-47-22,
41,AM32NES.JPG,ærlig_compressed.wav,positive,babble_54.wav,ledning_reversed.wav,pude_reversed.wav,0,2,2,2,0,-1,-1,0,5,2.2007970809936523,4600,001,2025-11-17_07-47-22,
131,AM15NES.JPG,rotte_compressed.wav,negative,babble_23.wav,nøgle_reversed.wav,smerte_reversed.wav,0,3,3,3,0,-1,-1,0,3,1.2296268939971924,4600,001,2025-11-17_07-47-22,
6,AF23NES.JPG,hjerte_compressed.wav,positive,babble_86.wav,gave_reversed.wav,patent_reversed.wav,0,4,4,4,0,-1,-1,0,2,4.93610405921936,4600,001,2025-11-17_07-47-22,
109,AM05ANS.JPG,SILENCE,no-prime,babble_55.wav,poesi_reversed.wav,putte_reversed.wav,0,5,5,5,0,-1,-1,0,2,2.405228853225708,4600,001,2025-11-17_07-47-22,
163,AM31HAS.JPG,spænding_compressed.wav,positive,babble_8.wav,smerte_reversed.wav,grimme_reversed.wav,,,,,0,0,0,0,9,0.8623218536376953,4600,001,2025-11-17_07-47-22,
49,AF05ANS.JPG,SILENCE,no-prime,babble_96.wav,vandfald_reversed.wav,statue_reversed.wav,,,,,0,1,1,1,1,0.29281091690063477,4600,001,2025-11-17_07-47-22,
71,AF18ANS.JPG,skammel_compressed.wav,neutral,babble_22.wav,drukne_reversed.wav,brutal_reversed.wav,,,,,0,2,2,2,3,0.610260009765625,4600,001,2025-11-17_07-47-22,
183,AM24HAS.JPG,grusom_compressed.wav,negative,babble_11.wav,putte_reversed.wav,blodig_reversed.wav,,,,,0,3,3,3,9,0.3012259006500244,4600,001,2025-11-17_07-47-22,
32,AM14NES.JPG,kæle_compressed.wav,positive,babble_8.wav,passion_reversed.wav,illoyal_reversed.wav,,,,,0,4,4,4,5,0.5394549369812012,4600,001,2025-11-17_07-47-22,
105,AM27ANS.JPG,skammel_compressed.wav,neutral,babble_96.wav,kugle_reversed.wav,modgang_reversed.wav,,,,,0,5,5,5,2,3.3388149738311768,4600,001,2025-11-17_07-47-22,
24,AF22HAS.JPG,SILENCE,no-prime,babble_93.wav,spise_reversed.wav,beskidt_reversed.wav,,,,,0,6,6,6,7,0.8049190044403076,4600,001,2025-11-17_07-47-22,
111,AM33ANS.JPG,mester_compressed.wav,positive,babble_60.wav,leder_reversed.wav,boble_reversed.wav,,,,,0,7,7,7,4,2.062746047973633,4600,001,2025-11-17_07-47-22,
70,AF13NES.JPG,blodig_compressed.wav,negative,babble_56.wav,væmmes_reversed.wav,mester_reversed.wav,,,,,0,8,8,8,5,3.1259310245513916,4600,001,2025-11-17_07-47-22,
171,AM19ANS.JPG,SILENCE,no-prime,babble_38.wav,brænde_reversed.wav,lyse_reversed.wav,,,,,0,9,9,9,3,0.9556088447570801,4600,001,2025-11-17_07-47-22,
104,AF33ANS.JPG,SILENCE,no-prime,babble_50.wav,maling_reversed.wav,genert_reversed.wav,,,,,0,10,10,10,1,0.2923929691314697,4600,001,2025-11-17_07-47-22,
95,AM20NES.JPG,lærer_compressed.wav,neutral,babble_24.wav,genert_reversed.wav,poesi_reversed.wav,,,,,0,11,11,11,4,0.9312140941619873,4600,001,2025-11-17_07-47-22,
47,AF08HAS.JPG,illoyal_compressed.wav,negative,babble_39.wav,sæde_reversed.wav,lampe_reversed.wav,,,,,0,12,12,12,8,1.4218838214874268,4600,001,2025-11-17_07-47-22,
92,AF30ANS.JPG,regnbue_compressed.wav,positive,babble_69.wav,knude_reversed.wav,opstemt_reversed.wav,,,,,0,13,13,13,3,0.660024881362915,4600,001,2025-11-17_07-47-22,
97,AM05HAS.JPG,traume_compressed.wav,negative,babble_86.wav,respekt_reversed.wav,passion_reversed.wav,,,,,0,14,14,14,9,0.6081588268280029,4600,001,2025-11-17_07-47-22,
89,AM30ANS.JPG,talent_compressed.wav,positive,babble_60.wav,offer_reversed.wav,vandal_reversed.wav,,,,,0,15,15,15,1,0.9367318153381348,4600,001,2025-11-17_07-47-22,
196,AM13ANS.JPG,rådden_compressed.wav,negative,babble_37.wav,maling_reversed.wav,gave_reversed.wav,,,,,0,16,16,16,3,0.6950740814208984,4600,001,2025-11-17_07-47-22,
175,AF35NES.JPG,hage_compressed.wav,neutral,babble_1.wav,opstemt_reversed.wav,feber_reversed.wav,,,,,0,17,17,17,7,0.8248419761657715,4600,001,2025-11-17_07-47-22,
176,AF19HAS.JPG,krise_compressed.wav,negative,babble_96.wav,varme_reversed.wav,knude_reversed.wav,,,,,0,18,18,18,9,0.07315587997436523,4600,001,2025-11-17_07-47-22,
17,AF25NES.JPG,SILENCE,no-prime,babble_1.wav,spise_reversed.wav,hader_reversed.wav,,,,,0,19,19,19,4,1.1827139854431152,4600,001,2025-11-17_07-47-22,
162,AF27NES.JPG,ankel_compressed.wav,neutral,babble_17.wav,måned_reversed.wav,offer_reversed.wav,,,,,0,20,20,20,4,1.0680079460144043,4600,001,2025-11-17_07-47-22,
115,AF29HAS.JPG,kage_compressed.wav,positive,babble_60.wav,kujon_reversed.wav,giftig_reversed.wav,,,,,0,21,21,21,7,0.6175510883331299,4600,001,2025-11-17_07-47-22,
16,AF02ANS.JPG,SILENCE,no-prime,babble_39.wav,søsyg_reversed.wav,taxa_reversed.wav,,,,,0,22,22,22,2,7.712873935699463,4600,001,2025-11-17_07-47-22,
