trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
60,AM04ANS.JPG,røver_compressed.wav,negative,babble_34.wav,regnbue_reversed.wav,enhed_reversed.wav,0,0,0,0,0,-1,-1,0,,,1,1.9905734000003577,1738,001,2025-11-27_13-52-04,
78,AM21ANS.JPG,hage_compressed.wav,neutral,babble_63.wav,diamant_reversed.wav,bange_reversed.wav,0,1,1,1,0,-1,-1,0,,,1,0.6037852999997995,1738,001,2025-11-27_13-52-04,
27,AM32HAS.JPG,kontor_compressed.wav,neutral,babble_71.wav,vandfald_reversed.wav,gaffel_reversed.wav,0,2,2,2,0,-1,-1,0,,,9,1.0555639000012889,1738,001,2025-11-27_13-52-04,
14,AF34ANS.JPG,nonsens_compressed.wav,neutral,babble_16.wav,magisk_reversed.wav,fremskridt_reversed.wav,0,3,3,3,0,-1,-1,0,,,3,0.20824999999967986,1738,001,2025-11-27_13-52-04,
179,AM02HAS.JPG,SILENCE,no-prime,babble_95.wav,vinde_reversed.wav,nonne_reversed.wav,0,4,4,4,0,-1,-1,0,,,7,0.2550047999993694,1738,001,2025-11-27_13-52-04,
88,AF14ANS.JPG,SILENCE,no-prime,babble_24.wav,konkurs_reversed.wav,kage_reversed.wav,0,5,5,5,0,-1,-1,0,,,1,0.40662020000127086,1738,001,2025-11-27_13-52-04,
165,AM28ANS.JPG,SILENCE,no-prime,babble_72.wav,fængsel_reversed.wav,natur_reversed.wav,,,,,0,0,0,0,,,1,0.2742054000009375,1738,001,2025-11-27_13-52-04,
42,AM32NES.JPG,penge_compressed.wav,positive,babble_92.wav,magisk_reversed.wav,fiasko_reversed.wav,,,,,0,1,1,1,,,4,0.32069639999826904,1738,001,2025-11-27_13-52-04,
147,AF29NES.JPG,jubel_compressed.wav,positive,babble_67.wav,nøgle_reversed.wav,koldbrand_reversed.wav,,,,,0,2,2,2,,,6,0.24322120000033465,1738,001,2025-11-27_13-52-04,
169,AM10HAS.JPG,tumor_compressed.wav,negative,babble_63.wav,modgang_reversed.wav,sikker_reversed.wav,,,,,0,3,3,3,,,8,0.2987941999999748,1738,001,2025-11-27_13-52-04,
175,AM22NES.JPG,gratis_compressed.wav,positive,babble_37.wav,sejre_reversed.wav,modgang_reversed.wav,,,,,0,4,4,4,,,1,0.4622914000010496,1738,001,2025-11-27_13-52-04,
142,AF01ANS.JPG,intim_compressed.wav,positive,babble_33.wav,kage_reversed.wav,vandal_reversed.wav,,,,,0,5,5,5,,,2,0.4736838999997417,1738,001,2025-11-27_13-52-04,
