trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
174,AM08NES.JPG,SILENCE,no-prime,babble_48.wav,skønhed_reversed.wav,mave_reversed.wav,0,0,0,0,0,-1,-1,0,,,3,0.01870349998353049,9123,001,2025-12-06_17-05-17,
33,AM31NES.JPG,viden_compressed.wav,positive,babble_25.wav,violin_reversed.wav,beskidt_reversed.wav,0,1,1,1,0,-1,-1,0,,,5,1.440025100018829,9123,001,2025-12-06_17-05-17,
114,AM27NES.JPG,tortur_compressed.wav,negative,babble_84.wav,nøgle_reversed.wav,heldig_reversed.wav,0,2,2,2,0,-1,-1,0,,,2,1.5690744000021368,9123,001,2025-12-06_17-05-17,
116,AM34HAS.JPG,SILENCE,no-prime,babble_74.wav,himmel_reversed.wav,bifald_reversed.wav,0,3,3,3,0,-1,-1,0,,,9,0.14545690000522882,9123,001,2025-12-06_17-05-17,
65,AM24HAS.JPG,grimme_compressed.wav,negative,babble_24.wav,frihed_reversed.wav,sandhed_reversed.wav,0,4,4,4,0,-1,-1,0,,,8,1.4132085000164807,9123,001,2025-12-06_17-05-17,
74,AM17HAS.JPG,tortur_compressed.wav,negative,babble_77.wav,genert_reversed.wav,taber_reversed.wav,0,5,5,5,0,-1,-1,0,,,9,2.1642370999907143,9123,001,2025-12-06_17-05-17,
176,AF05ANS.JPG,hjerte_compressed.wav,positive,babble_49.wav,humor_reversed.wav,lyse_reversed.wav,,,,,0,0,0,0,,,1,0.2782432999811135,9123,001,2025-12-06_17-05-17,
132,AM28NES.JPG,succes_compressed.wav,positive,babble_4.wav,flirte_reversed.wav,kugle_reversed.wav,,,,,0,1,1,1,,,3,0.45212759997230023,9123,001,2025-12-06_17-05-17,
2,AM05ANS.JPG,SILENCE,no-prime,babble_49.wav,konkurs_reversed.wav,frygtsom_reversed.wav,,,,,0,2,2,2,,,1,1.168746299983468,9123,001,2025-12-06_17-05-17,
140,AM14NES.JPG,krise_compressed.wav,negative,babble_89.wav,kiste_reversed.wav,hjerte_reversed.wav,,,,,0,3,3,3,,,5,0.7994588000001386,9123,001,2025-12-06_17-05-17,
100,AF10NES.JPG,skyldig_compressed.wav,negative,babble_84.wav,sollys_reversed.wav,djævel_reversed.wav,,,,,0,4,4,4,,,4,1.16149069997482,9123,001,2025-12-06_17-05-17,
151,AF30ANS.JPG,vandal_compressed.wav,negative,babble_30.wav,søsyg_reversed.wav,viden_reversed.wav,,,,,0,5,5,5,,,3,1.8698450000374578,9123,001,2025-12-06_17-05-17,
181,AM12ANS.JPG,voldtægt_compressed.wav,negative,babble_26.wav,søsyg_reversed.wav,grusom_reversed.wav,,,,,0,6,6,6,,,3,1.515556700003799,9123,001,2025-12-06_17-05-17,
198,AF06HAS.JPG,fjollet_compressed.wav,positive,babble_75.wav,sexet_reversed.wav,lyse_reversed.wav,,,,,0,7,7,7,,,7,1.1347714000148699,9123,001,2025-12-06_17-05-17,
120,AM15NES.JPG,frygtsom_compressed.wav,negative,babble_81.wav,lyse_reversed.wav,gaffel_reversed.wav,,,,,0,8,8,8,,,4,0.5764005000237375,9123,001,2025-12-06_17-05-17,
41,AF13ANS.JPG,maling_compressed.wav,neutral,babble_53.wav,nonsens_reversed.wav,blodig_reversed.wav,,,,,0,9,9,9,,,2,0.5302539999829605,9123,001,2025-12-06_17-05-17,
188,AM01ANS.JPG,musik_compressed.wav,positive,babble_74.wav,grusom_reversed.wav,maling_reversed.wav,,,,,0,10,10,10,,,1,0.9620160000049509,9123,001,2025-12-06_17-05-17,
175,AM16ANS.JPG,ensom_compressed.wav,negative,babble_85.wav,kiste_reversed.wav,avis_reversed.wav,,,,,0,11,11,11,,,1,0.9226871999562718,9123,001,2025-12-06_17-05-17,
113,AM23NES.JPG,kontor_compressed.wav,neutral,babble_59.wav,regnbue_reversed.wav,taber_reversed.wav,,,,,0,12,12,12,,,5,1.494654799986165,9123,001,2025-12-06_17-05-17,
85,AF24ANS.JPG,salat_compressed.wav,neutral,babble_16.wav,giftig_reversed.wav,sygdom_reversed.wav,,,,,0,13,13,13,,,3,1.2670879000215791,9123,001,2025-12-06_17-05-17,
43,AF04HAS.JPG,pervers_compressed.wav,negative,babble_24.wav,putte_reversed.wav,redskab_reversed.wav,,,,,0,14,14,14,,,7,1.1229810999939218,9123,001,2025-12-06_17-05-17,
142,AM29ANS.JPG,sindssyg_compressed.wav,negative,babble_37.wav,succes_reversed.wav,rådden_reversed.wav,,,,,0,15,15,15,,,2,0.43967829999746755,9123,001,2025-12-06_17-05-17,
107,AF16HAS.JPG,viden_compressed.wav,positive,babble_33.wav,marked_reversed.wav,cirkel_reversed.wav,,,,,0,16,16,16,,,8,0.3916538000339642,9123,001,2025-12-06_17-05-17,
139,AM02ANS.JPG,baby_compressed.wav,positive,babble_70.wav,borddug_reversed.wav,festlig_reversed.wav,,,,,0,17,17,17,,,2,0.41629100003046915,9123,001,2025-12-06_17-05-17,
57,AF15HAS.JPG,trussel_compressed.wav,negative,babble_90.wav,skyldig_reversed.wav,mave_reversed.wav,,,,,0,18,18,18,,,8,2.4561397000215948,9123,001,2025-12-06_17-05-17,
164,AM03NES.JPG,mave_compressed.wav,neutral,babble_36.wav,oprørt_reversed.wav,museum_reversed.wav,,,,,0,19,19,19,,,4,1.6500691000255756,9123,001,2025-12-06_17-05-17,
25,AM06HAS.JPG,gidsel_compressed.wav,negative,babble_36.wav,måned_reversed.wav,gidsel_reversed.wav,,,,,0,20,20,20,,,9,1.4857867000391707,9123,001,2025-12-06_17-05-17,
162,AM09NES.JPG,respekt_compressed.wav,positive,babble_53.wav,trofæ_reversed.wav,slave_reversed.wav,,,,,0,21,21,21,,,5,1.205579100002069,9123,001,2025-12-06_17-05-17,
149,AF34HAS.JPG,offer_compressed.wav,negative,babble_35.wav,glæde_reversed.wav,gratis_reversed.wav,,,,,0,22,22,22,,,8,1.1881888000061736,9123,001,2025-12-06_17-05-17,
