trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
82,AF09NES.JPG,flirte_compressed.wav,positive,babble_83.wav,diamant_reversed.wav,sandhed_reversed.wav,0,0,0,0,0,-1,-1,0,5,5.129157066345215,280303,001,2025-11-17_05-00-29,
30,AM02NES.JPG,trussel_compressed.wav,negative,babble_61.wav,genert_reversed.wav,kæle_reversed.wav,0,1,1,1,0,-1,-1,0,4,2.215430974960327,280303,001,2025-11-17_05-00-29,
57,AM11ANS.JPG,venlig_compressed.wav,positive,babble_51.wav,sandhed_reversed.wav,himlen_reversed.wav,0,2,2,2,0,-1,-1,0,4,2.959904909133911,280303,001,2025-11-17_05-00-29,
23,AF23ANS.JPG,knude_compressed.wav,neutral,babble_2.wav,dæmpet_reversed.wav,affald_reversed.wav,0,3,3,3,0,-1,-1,0,3,3.3733041286468506,280303,001,2025-11-17_05-00-29,
83,AF09HAS.JPG,SILENCE,no-prime,babble_50.wav,heldig_reversed.wav,sexet_reversed.wav,0,4,4,4,0,-1,-1,0,6,3.3056440353393555,280303,001,2025-11-17_05-00-29,
47,AM21HAS.JPG,udskud_compressed.wav,negative,babble_43.wav,maling_reversed.wav,bange_reversed.wav,0,5,5,5,0,-1,-1,0,7,1.195112943649292,280303,001,2025-11-17_05-00-29,
31,AF20NES.JPG,syndig_compressed.wav,negative,babble_37.wav,sygdom_reversed.wav,traume_reversed.wav,,,,,0,0,0,0,5,2.615455150604248,280303,001,2025-11-17_05-00-29,
158,AF18HAS.JPG,smerte_compressed.wav,negative,babble_16.wav,cirkel_reversed.wav,utro_reversed.wav,,,,,0,1,1,1,9,1.125736951828003,280303,001,2025-11-17_05-00-29,
39,AF10ANS.JPG,fremskridt_compressed.wav,positive,babble_75.wav,morder_reversed.wav,marked_reversed.wav,,,,,0,2,2,2,6,1.9860100746154785,280303,001,2025-11-17_05-00-29,
172,AM20ANS.JPG,hjerte_compressed.wav,positive,babble_98.wav,baby_reversed.wav,kæle_reversed.wav,,,,,0,3,3,3,6,1.7395739555358887,280303,001,2025-11-17_05-00-29,
109,AM27ANS.JPG,slagtning_compressed.wav,negative,babble_2.wav,trofæ_reversed.wav,engel_reversed.wav,,,,,0,4,4,4,4,1.6179420948028564,280303,001,2025-11-17_05-00-29,
66,AM25ANS.JPG,gidsel_compressed.wav,negative,babble_90.wav,fedme_reversed.wav,frihed_reversed.wav,,,,,0,5,5,5,5,1.2952680587768555,280303,001,2025-11-17_05-00-29,
108,AM03HAS.JPG,lærer_compressed.wav,neutral,babble_80.wav,syndig_reversed.wav,ønske_reversed.wav,,,,,0,6,6,6,8,1.5152528285980225,280303,001,2025-11-17_05-00-29,
165,AF10HAS.JPG,pjece_compressed.wav,neutral,babble_94.wav,pjece_reversed.wav,regnbue_reversed.wav,,,,,0,7,7,7,6,1.9500727653503418,280303,001,2025-11-17_05-00-29,
84,AM10NES.JPG,nedbrud_compressed.wav,negative,babble_91.wav,museum_reversed.wav,ketchup_reversed.wav,,,,,0,8,8,8,5,3.6599230766296387,280303,001,2025-11-17_05-00-29,
148,AF06HAS.JPG,SILENCE,no-prime,babble_73.wav,mester_reversed.wav,drukne_reversed.wav,,,,,0,9,9,9,9,1.0053560733795166,280303,001,2025-11-17_05-00-29,
46,AF34NES.JPG,kiste_compressed.wav,negative,babble_64.wav,vindue_reversed.wav,sandhed_reversed.wav,,,,,0,10,10,10,4,1.4191009998321533,280303,001,2025-11-17_05-00-29,
179,AF02ANS.JPG,sindssyg_compressed.wav,negative,babble_96.wav,pervers_reversed.wav,avis_reversed.wav,,,,,0,11,11,11,5,2.264832019805908,280303,001,2025-11-17_05-00-29,
53,AM30HAS.JPG,SILENCE,no-prime,babble_51.wav,kande_reversed.wav,hage_reversed.wav,,,,,0,12,12,12,8,3.3784120082855225,280303,001,2025-11-17_05-00-29,
166,AM26HAS.JPG,udskud_compressed.wav,negative,babble_34.wav,metal_reversed.wav,borddug_reversed.wav,,,,,0,13,13,13,5,1.6977999210357666,280303,001,2025-11-17_05-00-29,
80,AF07NES.JPG,grusom_compressed.wav,negative,babble_83.wav,slagtning_reversed.wav,varme_reversed.wav,,,,,0,14,14,14,4,4.561977863311768,280303,001,2025-11-17_05-00-29,
21,AF31NES.JPG,fedme_compressed.wav,negative,babble_63.wav,hader_reversed.wav,feber_reversed.wav,,,,,0,15,15,15,5,1.3520851135253906,280303,001,2025-11-17_05-00-29,
4,AM23HAS.JPG,latter_compressed.wav,positive,babble_64.wav,ankel_reversed.wav,rædsel_reversed.wav,,,,,0,16,16,16,9,0.13125395774841309,280303,001,2025-11-17_05-00-29,
67,AM24ANS.JPG,banner_compressed.wav,neutral,babble_28.wav,gidsel_reversed.wav,lækker_reversed.wav,,,,,0,17,17,17,5,1.2258241176605225,280303,001,2025-11-17_05-00-29,
1,AM03ANS.JPG,festlig_compressed.wav,positive,babble_15.wav,bange_reversed.wav,kærtegn_reversed.wav,,,,,0,18,18,18,3,1.1374340057373047,280303,001,2025-11-17_05-00-29,
183,AF22ANS.JPG,ydmyg_compressed.wav,neutral,babble_16.wav,flirte_reversed.wav,pjece_reversed.wav,,,,,0,19,19,19,5,1.2248010635375977,280303,001,2025-11-17_05-00-29,
73,AF26ANS.JPG,dollar_compressed.wav,positive,babble_79.wav,hånlig_reversed.wav,taxa_reversed.wav,,,,,0,20,20,20,5,0.7036128044128418,280303,001,2025-11-17_05-00-29,
161,AM21ANS.JPG,slave_compressed.wav,negative,babble_56.wav,skønhed_reversed.wav,tumor_reversed.wav,,,,,0,21,21,21,5,0.900109052658081,280303,001,2025-11-17_05-00-29,
110,AF35HAS.JPG,forår_compressed.wav,positive,babble_74.wav,fjendtlig_reversed.wav,poesi_reversed.wav,,,,,0,22,22,22,9,0.4921259880065918,280303,001,2025-11-17_05-00-29,
141,AF26HAS.JPG,dollar_compressed.wav,positive,babble_12.wav,ønske_reversed.wav,skuffe_reversed.wav,,,,,0,23,23,23,9,1.7681078910827637,280303,001,2025-11-17_05-00-29,
58,AF09ANS.JPG,gave_compressed.wav,positive,babble_72.wav,kæle_reversed.wav,flirte_reversed.wav,,,,,0,24,24,24,3,2.4891889095306396,280303,001,2025-11-17_05-00-29,
42,AF24ANS.JPG,salat_compressed.wav,neutral,babble_61.wav,blodig_reversed.wav,kontor_reversed.wav,,,,,0,25,25,25,5,2.4786999225616455,280303,001,2025-11-17_05-00-29,
26,AM01NES.JPG,accept_compressed.wav,positive,babble_87.wav,tortur_reversed.wav,tumor_reversed.wav,,,,,0,26,26,26,5,0.7067539691925049,280303,001,2025-11-17_05-00-29,
22,AF32NES.JPG,regnbue_compressed.wav,positive,babble_62.wav,respekt_reversed.wav,slave_reversed.wav,,,,,0,27,27,27,5,0.9390079975128174,280303,001,2025-11-17_05-00-29,
89,AM22ANS.JPG,himmel_compressed.wav,positive,babble_59.wav,fase_reversed.wav,måned_reversed.wav,,,,,0,28,28,28,5,2.1028759479522705,280303,001,2025-11-17_05-00-29,
25,AF32HAS.JPG,SILENCE,no-prime,babble_26.wav,tumor_reversed.wav,putte_reversed.wav,,,,,0,29,29,29,9,0.09533190727233887,280303,001,2025-11-17_05-00-29,
37,AM30NES.JPG,hjerte_compressed.wav,positive,babble_69.wav,forpint_reversed.wav,trofæ_reversed.wav,,,,,0,30,30,30,5,1.4065330028533936,280303,001,2025-11-17_05-00-29,
160,AF21HAS.JPG,flirte_compressed.wav,positive,babble_50.wav,nonsens_reversed.wav,motor_reversed.wav,,,,,0,31,31,31,9,0.48861098289489746,280303,001,2025-11-17_05-00-29,
52,AF08ANS.JPG,tønde_compressed.wav,neutral,babble_51.wav,museum_reversed.wav,spænding_reversed.wav,,,,,0,32,32,32,5,0.4814419746398926,280303,001,2025-11-17_05-00-29,
173,AM11HAS.JPG,traume_compressed.wav,negative,babble_55.wav,vandal_reversed.wav,kontor_reversed.wav,,,,,0,33,33,33,9,0.7707991600036621,280303,001,2025-11-17_05-00-29,
