trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
87,AM25HAS.JPG,fjollet_compressed.wav,positive,babble_43.wav,kontor_reversed.wav,nonne_reversed.wav,,,,,0,67,67,67,7,2.749850034713745,1234,001,2025-11-28_15-21-14,
178,AM20ANS.JPG,minder_compressed.wav,positive,babble_16.wav,finger_reversed.wav,sygdom_reversed.wav,,,,,0,68,68,68,3,0.9248058795928955,1234,001,2025-11-28_15-21-14,
86,AF32ANS.JPG,lækker_compressed.wav,positive,babble_62.wav,salat_reversed.wav,gave_reversed.wav,,,,,0,69,69,69,2,1.0330109596252441,1234,001,2025-11-28_15-21-14,
109,AM05NES.JPG,redning_compressed.wav,positive,babble_38.wav,røver_reversed.wav,museum_reversed.wav,,,,,0,70,70,70,3,2.957350969314575,1234,001,2025-11-28_15-21-14,
93,AF27NES.JPG,SILENCE,no-prime,babble_71.wav,pervers_reversed.wav,kedel_reversed.wav,,,,,0,71,71,71,5,22.123008966445923,1234,001,2025-11-28_15-21-14,
175,AM27NES.JPG,sexet_compressed.wav,positive,babble_23.wav,himlen_reversed.wav,redskab_reversed.wav,,,,,0,72,72,72,5,2.2806310653686523,1234,001,2025-11-28_15-21-14,
7,AF31HAS.JPG,borddug_compressed.wav,neutral,babble_95.wav,albue_reversed.wav,violin_reversed.wav,,,,,0,73,73,73,3,1.6539599895477295,1234,001,2025-11-28_15-21-14,
91,AM11HAS.JPG,SILENCE,no-prime,babble_92.wav,lyse_reversed.wav,humor_reversed.wav,,,,,0,74,74,74,7,0.7927589416503906,1234,001,2025-11-28_15-21-14,
75,AF08NES.JPG,minder_compressed.wav,positive,babble_88.wav,offer_reversed.wav,succes_reversed.wav,,,,,0,75,75,75,5,0.4035639762878418,1234,001,2025-11-28_15-21-14,
42,AM08NES.JPG,violin_compressed.wav,neutral,babble_9.wav,gave_reversed.wav,stjerne_reversed.wav,,,,,0,76,76,76,5,0.14417600631713867,1234,001,2025-11-28_15-21-14,
5,AF03NES.JPG,brutal_compressed.wav,negative,babble_6.wav,gade_reversed.wav,accept_reversed.wav,,,,,0,77,77,77,5,0.7482719421386719,1234,001,2025-11-28_15-21-14,
45,AM01HAS.JPG,gratis_compressed.wav,positive,babble_12.wav,væmmes_reversed.wav,ensom_reversed.wav,,,,,0,78,78,78,7,0.8833210468292236,1234,001,2025-11-28_15-21-14,
27,AM23HAS.JPG,gidsel_compressed.wav,negative,babble_47.wav,finger_reversed.wav,beskidt_reversed.wav,,,,,0,79,79,79,8,0.8469481468200684,1234,001,2025-11-28_15-21-14,
155,AF21ANS.JPG,oprør_compressed.wav,negative,babble_30.wav,lampe_reversed.wav,giftig_reversed.wav,,,,,0,80,80,80,2,1.5047900676727295,1234,001,2025-11-28_15-21-14,
88,AM14HAS.JPG,hånlig_compressed.wav,negative,babble_99.wav,ketchup_reversed.wav,ledning_reversed.wav,,,,,0,81,81,81,8,1.4104549884796143,1234,001,2025-11-28_15-21-14,
46,AM04HAS.JPG,røver_compressed.wav,negative,babble_32.wav,smerte_reversed.wav,fjollet_reversed.wav,,,,,0,82,82,82,7,0.7015500068664551,1234,001,2025-11-28_15-21-14,
105,AF19HAS.JPG,skønhed_compressed.wav,positive,babble_37.wav,latter_reversed.wav,papir_reversed.wav,,,,,0,83,83,83,7,0.5063478946685791,1234,001,2025-11-28_15-21-14,
38,AF35ANS.JPG,offer_compressed.wav,negative,babble_33.wav,vandal_reversed.wav,brænde_reversed.wav,,,,,0,84,84,84,3,0.7251479625701904,1234,001,2025-11-28_15-21-14,
72,AF07ANS.JPG,ærlig_compressed.wav,positive,babble_64.wav,kæle_reversed.wav,søsyg_reversed.wav,,,,,0,85,85,85,2,0.7838129997253418,1234,001,2025-11-28_15-21-14,
77,AM26ANS.JPG,SILENCE,no-prime,babble_26.wav,himlen_reversed.wav,affald_reversed.wav,,,,,0,86,86,86,3,1.2808358669281006,1234,001,2025-11-28_15-21-14,
146,AF08HAS.JPG,SILENCE,no-prime,babble_44.wav,mester_reversed.wav,taxa_reversed.wav,,,,,0,87,87,87,5,1.3772168159484863,1234,001,2025-11-28_15-21-14,
196,AF08ANS.JPG,bombe_compressed.wav,negative,babble_72.wav,latter_reversed.wav,konge_reversed.wav,,,,,0,88,88,88,4,0.6784231662750244,1234,001,2025-11-28_15-21-14,
47,AM09NES.JPG,vandal_compressed.wav,negative,babble_30.wav,leder_reversed.wav,museum_reversed.wav,,,,,0,89,89,89,3,0.710597038269043,1234,001,2025-11-28_15-21-14,
110,AM03HAS.JPG,lyse_compressed.wav,positive,babble_47.wav,vandfald_reversed.wav,talent_reversed.wav,,,,,0,90,90,90,6,1.0438010692596436,1234,001,2025-11-28_15-21-14,
10,AM25ANS.JPG,sexet_compressed.wav,positive,babble_45.wav,redning_reversed.wav,pjece_reversed.wav,,,,,0,91,91,91,4,1.4187440872192383,1234,001,2025-11-28_15-21-14,
120,AF29HAS.JPG,morder_compressed.wav,negative,babble_39.wav,grimme_reversed.wav,viden_reversed.wav,,,,,0,92,92,92,4,2.7375328540802,1234,001,2025-11-28_15-21-14,
199,AF33HAS.JPG,feber_compressed.wav,negative,babble_45.wav,fedme_reversed.wav,krise_reversed.wav,,,,,0,93,93,93,7,0.5947461128234863,1234,001,2025-11-28_15-21-14,
167,AF02NES.JPG,SILENCE,no-prime,babble_25.wav,sollys_reversed.wav,dæmon_reversed.wav,,,,,0,94,94,94,6,0.7068648338317871,1234,001,2025-11-28_15-21-14,
60,AM17NES.JPG,syndig_compressed.wav,negative,babble_55.wav,succes_reversed.wav,humor_reversed.wav,,,,,0,95,95,95,5,1.3300409317016602,1234,001,2025-11-28_15-21-14,
134,AF12HAS.JPG,taber_compressed.wav,negative,babble_4.wav,hader_reversed.wav,djævel_reversed.wav,,,,,0,96,96,96,6,0.32894301414489746,1234,001,2025-11-28_15-21-14,
40,AF01HAS.JPG,udskud_compressed.wav,negative,babble_7.wav,poesi_reversed.wav,genert_reversed.wav,,,,,0,97,97,97,7,0.13409900665283203,1234,001,2025-11-28_15-21-14,
125,AF31NES.JPG,SILENCE,no-prime,babble_63.wav,mave_reversed.wav,gidsel_reversed.wav,,,,,0,98,98,98,4,0.5327088832855225,1234,001,2025-11-28_15-21-14,
8,AF34ANS.JPG,konge_compressed.wav,positive,babble_13.wav,sygdom_reversed.wav,kugle_reversed.wav,,,,,0,99,99,99,4,0.9186520576477051,1234,001,2025-11-28_15-21-14,
