trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
21,AF30NES.JPG,kysse_compressed.wav,positive,babble_29.wav,frihed_reversed.wav,sindssyg_reversed.wav,0,0,0,0,0,-1,-1,0,,,3,22.617015875002835,5050,001,2025-11-26_20-31-26,
80,AM21ANS.JPG,lyse_compressed.wav,positive,babble_40.wav,kiste_reversed.wav,gaffel_reversed.wav,0,1,1,1,0,-1,-1,0,,,8,16.401763290996314,5050,001,2025-11-26_20-31-26,
24,AF27NES.JPG,ørken_compressed.wav,negative,babble_25.wav,ledning_reversed.wav,sandhed_reversed.wav,0,2,2,2,0,-1,-1,0,,,3,10.065756374999182,5050,001,2025-11-26_20-31-26,
36,AM21NES.JPG,passion_compressed.wav,positive,babble_32.wav,dæmpet_reversed.wav,rotte_reversed.wav,0,3,3,3,0,-1,-1,0,,,7,5.486733707992244,5050,001,2025-11-26_20-31-26,
67,AM15NES.JPG,kærtegn_compressed.wav,positive,babble_64.wav,misbrug_reversed.wav,frygtsom_reversed.wav,0,4,4,4,0,-1,-1,0,,,6,6.177741584004252,5050,001,2025-11-26_20-31-26,
144,AF22ANS.JPG,morder_compressed.wav,negative,babble_90.wav,sandhed_reversed.wav,nonne_reversed.wav,0,5,5,5,0,-1,-1,0,,,3,37.73201033299847,5050,001,2025-11-26_20-31-26,
108,AM29ANS.JPG,taber_compressed.wav,negative,babble_73.wav,albue_reversed.wav,kedel_reversed.wav,,,,,0,0,0,0,,,2,0.8006244999996852,5050,001,2025-11-26_20-31-26,
12,AM18ANS.JPG,SILENCE,no-prime,babble_78.wav,dæmon_reversed.wav,sexet_reversed.wav,,,,,0,1,1,1,,,3,1.5114829589874716,5050,001,2025-11-26_20-31-26,
178,AF29NES.JPG,afvist_compressed.wav,negative,babble_49.wav,papir_reversed.wav,ensom_reversed.wav,,,,,0,2,2,2,,,5,1.3127383340033703,5050,001,2025-11-26_20-31-26,
74,AM13HAS.JPG,trussel_compressed.wav,negative,babble_65.wav,kiste_reversed.wav,sandhed_reversed.wav,,,,,0,3,3,3,,,8,2.5965776670054765,5050,001,2025-11-26_20-31-26,
136,AF09HAS.JPG,skammel_compressed.wav,neutral,babble_18.wav,misbrug_reversed.wav,genert_reversed.wav,,,,,0,4,4,4,,,8,2.842687999989721,5050,001,2025-11-26_20-31-26,
69,AF18ANS.JPG,SILENCE,no-prime,babble_81.wav,lækker_reversed.wav,genert_reversed.wav,,,,,0,5,5,5,,,4,1.640196874999674,5050,001,2025-11-26_20-31-26,
172,AF13HAS.JPG,kujon_compressed.wav,negative,babble_10.wav,fremskridt_reversed.wav,patent_reversed.wav,,,,,0,6,6,6,,,8,0.517512042002636,5050,001,2025-11-26_20-31-26,
20,AM23HAS.JPG,væmmes_compressed.wav,negative,babble_37.wav,fjollet_reversed.wav,jubel_reversed.wav,,,,,0,7,7,7,,,7,0.6211516659968765,5050,001,2025-11-26_20-31-26,
44,AM30ANS.JPG,SILENCE,no-prime,babble_10.wav,albue_reversed.wav,rigdom_reversed.wav,,,,,0,8,8,8,,,4,1.6225055840041023,5050,001,2025-11-26_20-31-26,
179,AM17HAS.JPG,kujon_compressed.wav,negative,babble_8.wav,bygning_reversed.wav,finger_reversed.wav,,,,,0,9,9,9,,,6,0.8310932500025956,5050,001,2025-11-26_20-31-26,
22,AM32ANS.JPG,skuffe_compressed.wav,negative,babble_14.wav,trofæ_reversed.wav,sandhed_reversed.wav,,,,,0,10,10,10,,,3,4.035351625003386,5050,001,2025-11-26_20-31-26,
