trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
132,AF31NES.JPG,SILENCE,no-prime,babble_70.wav,nedbrud_reversed.wav,talent_reversed.wav,0,0,0,0,0,-1,-1,0,5,3.1625659465789795,2244,001,2025-11-28_12-04-57,
96,AM08ANS.JPG,sindssyg_compressed.wav,negative,babble_78.wav,accept_reversed.wav,lærer_reversed.wav,0,1,1,1,0,-1,-1,0,1,19.784127950668335,2244,001,2025-11-28_12-04-57,
81,AM16NES.JPG,succes_compressed.wav,positive,babble_5.wav,nedbrud_reversed.wav,statue_reversed.wav,0,2,2,2,0,-1,-1,0,4,5.353752136230469,2244,001,2025-11-28_12-04-57,
71,AM22ANS.JPG,sæde_compressed.wav,neutral,babble_66.wav,tilfreds_reversed.wav,ørken_reversed.wav,0,3,3,3,0,-1,-1,0,3,7.170748949050903,2244,001,2025-11-28_12-04-57,
8,AM19ANS.JPG,SILENCE,no-prime,babble_94.wav,natur_reversed.wav,grimme_reversed.wav,0,4,4,4,0,-1,-1,0,4,3.366089105606079,2244,001,2025-11-28_12-04-57,
136,AM01ANS.JPG,albue_compressed.wav,neutral,babble_40.wav,kontor_reversed.wav,passion_reversed.wav,0,5,5,5,0,-1,-1,0,3,0.7348201274871826,2244,001,2025-11-28_12-04-57,
133,AM14HAS.JPG,genert_compressed.wav,neutral,babble_48.wav,fremskridt_reversed.wav,stjerne_reversed.wav,,,,,0,0,0,0,8,0.3835887908935547,2244,001,2025-11-28_12-04-57,
163,AF18ANS.JPG,trussel_compressed.wav,negative,babble_79.wav,grusom_reversed.wav,ensom_reversed.wav,,,,,0,1,1,1,4,0.5569000244140625,2244,001,2025-11-28_12-04-57,
116,AM32HAS.JPG,konge_compressed.wav,positive,babble_83.wav,hånlig_reversed.wav,cirkel_reversed.wav,,,,,0,2,2,2,6,0.7971179485321045,2244,001,2025-11-28_12-04-57,
153,AM09ANS.JPG,bange_compressed.wav,negative,babble_90.wav,sæde_reversed.wav,cirkel_reversed.wav,,,,,0,3,3,3,2,22.63287115097046,2244,001,2025-11-28_12-04-57,
34,AF15NES.JPG,SILENCE,no-prime,babble_60.wav,heldig_reversed.wav,skyldig_reversed.wav,,,,,0,4,4,4,5,4.065396070480347,2244,001,2025-11-28_12-04-57,
119,AM21HAS.JPG,sexet_compressed.wav,positive,babble_66.wav,nonne_reversed.wav,leder_reversed.wav,,,,,0,5,5,5,7,0.11697816848754883,2244,001,2025-11-28_12-04-57,
99,AM18NES.JPG,ydmyg_compressed.wav,neutral,babble_81.wav,museum_reversed.wav,festlig_reversed.wav,,,,,0,6,6,6,4,1.8562040328979492,2244,001,2025-11-28_12-04-57,
