trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,Participant ID,Session,date,
17,AM30NES.JPG,kiste_compressed.wav,negative,babble_80.wav,metal_reversed.wav,hader_reversed.wav,0,0,0,0,0,-1,-1,0,5,5.032509088516235,050701,001,2025-11-28_11-12-15,
152,AF35NES.JPG,bryllup_compressed.wav,positive,babble_35.wav,pude_reversed.wav,lyse_reversed.wav,0,1,1,1,0,-1,-1,0,4,1.5300710201263428,050701,001,2025-11-28_11-12-15,
112,AF03NES.JPG,succes_compressed.wav,positive,babble_68.wav,fængsel_reversed.wav,rigdom_reversed.wav,0,2,2,2,0,-1,-1,0,3,6.124786138534546,050701,001,2025-11-28_11-12-15,
81,AM20ANS.JPG,boble_compressed.wav,neutral,babble_82.wav,tumor_reversed.wav,taber_reversed.wav,0,3,3,3,0,-1,-1,0,3,2.201662063598633,050701,001,2025-11-28_11-12-15,
86,AM31HAS.JPG,latter_compressed.wav,positive,babble_44.wav,illoyal_reversed.wav,feber_reversed.wav,0,4,4,4,0,-1,-1,0,9,0.2110309600830078,050701,001,2025-11-28_11-12-15,
32,AF17ANS.JPG,SILENCE,no-prime,babble_16.wav,rabies_reversed.wav,tilfreds_reversed.wav,0,5,5,5,0,-1,-1,0,3,0.6985318660736084,050701,001,2025-11-28_11-12-15,
63,AM16ANS.JPG,feber_compressed.wav,negative,babble_55.wav,banner_reversed.wav,skønhed_reversed.wav,,,,,0,0,0,0,6,1.3135569095611572,050701,001,2025-11-28_11-12-15,
111,AM25HAS.JPG,grimme_compressed.wav,negative,babble_17.wav,motor_reversed.wav,ketchup_reversed.wav,,,,,0,1,1,1,9,1.1034290790557861,050701,001,2025-11-28_11-12-15,
88,AM09NES.JPG,gave_compressed.wav,positive,babble_20.wav,skønhed_reversed.wav,smerte_reversed.wav,,,,,0,2,2,2,5,1.6771008968353271,050701,001,2025-11-28_11-12-15,
166,AF13NES.JPG,hage_compressed.wav,neutral,babble_57.wav,banner_reversed.wav,viden_reversed.wav,,,,,0,3,3,3,5,0.0659031867980957,050701,001,2025-11-28_11-12-15,
123,AF24ANS.JPG,grusom_compressed.wav,negative,babble_36.wav,humor_reversed.wav,kujon_reversed.wav,,,,,0,4,4,4,4,1.8826119899749756,050701,001,2025-11-28_11-12-15,
93,AM19ANS.JPG,flirte_compressed.wav,positive,babble_95.wav,metal_reversed.wav,baby_reversed.wav,,,,,0,5,5,5,5,0.7014710903167725,050701,001,2025-11-28_11-12-15,
171,AM23HAS.JPG,væmmes_compressed.wav,negative,babble_35.wav,tilfreds_reversed.wav,mester_reversed.wav,,,,,0,6,6,6,8,0.1973559856414795,050701,001,2025-11-28_11-12-15,
187,AF05HAS.JPG,smerte_compressed.wav,negative,babble_88.wav,kærtegn_reversed.wav,utro_reversed.wav,,,,,0,7,7,7,8,0.8538370132446289,050701,001,2025-11-28_11-12-15,
34,AF30NES.JPG,heldig_compressed.wav,positive,babble_7.wav,taxa_reversed.wav,gave_reversed.wav,,,,,0,8,8,8,4,0.975167989730835,050701,001,2025-11-28_11-12-15,
31,AM34HAS.JPG,SILENCE,no-prime,babble_85.wav,utro_reversed.wav,salat_reversed.wav,,,,,0,9,9,9,8,1.1326401233673096,050701,001,2025-11-28_11-12-15,
14,AM12ANS.JPG,affald_compressed.wav,negative,babble_58.wav,ferie_reversed.wav,ensom_reversed.wav,,,,,0,10,10,10,4,0.6755831241607666,050701,001,2025-11-28_11-12-15,
106,AF01NES.JPG,kærtegn_compressed.wav,positive,babble_71.wav,jubel_reversed.wav,genert_reversed.wav,,,,,0,11,11,11,5,0.3993549346923828,050701,001,2025-11-28_11-12-15,
23,AM05NES.JPG,bifald_compressed.wav,positive,babble_84.wav,maling_reversed.wav,dæmpet_reversed.wav,,,,,0,12,12,12,3,1.273953914642334,050701,001,2025-11-28_11-12-15,
193,AM22HAS.JPG,intim_compressed.wav,positive,babble_95.wav,gade_reversed.wav,tortur_reversed.wav,,,,,0,13,13,13,7,0.31934380531311035,050701,001,2025-11-28_11-12-15,
197,AM11ANS.JPG,ferie_compressed.wav,positive,babble_26.wav,genstand_reversed.wav,sikker_reversed.wav,,,,,0,14,14,14,3,0.6541171073913574,050701,001,2025-11-28_11-12-15,
75,AF17HAS.JPG,engel_compressed.wav,positive,babble_95.wav,dæmpet_reversed.wav,maling_reversed.wav,,,,,0,15,15,15,8,1.914557933807373,050701,001,2025-11-28_11-12-15,
53,AM17ANS.JPG,rædsel_compressed.wav,negative,babble_75.wav,morder_reversed.wav,bygning_reversed.wav,,,,,0,16,16,16,5,2.7891900539398193,050701,001,2025-11-28_11-12-15,
118,AF04ANS.JPG,brænde_compressed.wav,negative,babble_48.wav,misbrug_reversed.wav,lærer_reversed.wav,,,,,0,17,17,17,4,0.49526000022888184,050701,001,2025-11-28_11-12-15,
120,AM28HAS.JPG,SILENCE,no-prime,babble_19.wav,ferie_reversed.wav,krise_reversed.wav,,,,,0,18,18,18,8,0.3102889060974121,050701,001,2025-11-28_11-12-15,
133,AF35ANS.JPG,sikker_compressed.wav,positive,babble_1.wav,lyse_reversed.wav,hjerte_reversed.wav,,,,,0,19,19,19,4,0.8514330387115479,050701,001,2025-11-28_11-12-15,
173,AF23ANS.JPG,fængsel_compressed.wav,negative,babble_17.wav,viden_reversed.wav,taxa_reversed.wav,,,,,0,20,20,20,3,0.5463409423828125,050701,001,2025-11-28_11-12-15,
65,AM19NES.JPG,væmmes_compressed.wav,negative,babble_38.wav,himlen_reversed.wav,tilfreds_reversed.wav,,,,,0,21,21,21,5,0.24136805534362793,050701,001,2025-11-28_11-12-15,
163,AF32ANS.JPG,vindue_compressed.wav,neutral,babble_23.wav,misbrug_reversed.wav,baby_reversed.wav,,,,,0,22,22,22,3,0.3531498908996582,050701,001,2025-11-28_11-12-15,
38,AF29HAS.JPG,SILENCE,no-prime,babble_54.wav,tortur_reversed.wav,nonne_reversed.wav,,,,,0,23,23,23,9,0.46184396743774414,050701,001,2025-11-28_11-12-15,
144,AF31NES.JPG,vandal_compressed.wav,negative,babble_25.wav,ørken_reversed.wav,nedbrud_reversed.wav,,,,,0,24,24,24,6,0.9548850059509277,050701,001,2025-11-28_11-12-15,
181,AM34ANS.JPG,feber_compressed.wav,negative,babble_44.wav,pervers_reversed.wav,luksus_reversed.wav,,,,,0,25,25,25,4,1.24580979347229,050701,001,2025-11-28_11-12-15,
26,AM10NES.JPG,rotte_compressed.wav,negative,babble_8.wav,måned_reversed.wav,trofæ_reversed.wav,,,,,0,26,26,26,5,0.26907801628112793,050701,001,2025-11-28_11-12-15,
49,AF19NES.JPG,SILENCE,no-prime,babble_4.wav,djævel_reversed.wav,redning_reversed.wav,,,,,0,27,27,27,5,0.4893219470977783,050701,001,2025-11-28_11-12-15,
100,AM29ANS.JPG,ønske_compressed.wav,positive,babble_53.wav,sandhed_reversed.wav,mave_reversed.wav,,,,,0,28,28,28,1,0.4091942310333252,050701,001,2025-11-28_11-12-15,
110,AF12NES.JPG,borddug_compressed.wav,neutral,babble_85.wav,glæde_reversed.wav,maling_reversed.wav,,,,,0,29,29,29,5,0.42469096183776855,050701,001,2025-11-28_11-12-15,
170,AM12HAS.JPG,baby_compressed.wav,positive,babble_6.wav,skammel_reversed.wav,oprørt_reversed.wav,,,,,0,30,30,30,9,0.25649595260620117,050701,001,2025-11-28_11-12-15,
121,AF06ANS.JPG,genert_compressed.wav,neutral,babble_36.wav,genert_reversed.wav,venlig_reversed.wav,,,,,0,31,31,31,2,0.5850629806518555,050701,001,2025-11-28_11-12-15,
