trial_i,face_file,prime_file,prime_valence,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,Participant ID,Session,date,
173,AM14NES.JPG,marked_compressed.wav,neutral,babble_4.wav,papir_reversed.wav,viden_reversed.wav,0,0,0,0,0,-1,-1,0,,,6,5.019680958001118,real_4353,001,2025-11-24_10-26-02,
24,AF29NES.JPG,violin_compressed.wav,neutral,babble_63.wav,ketchup_reversed.wav,søsyg_reversed.wav,0,1,1,1,0,-1,-1,0,,,8,86.91156495799805,real_4353,001,2025-11-24_10-26-02,
84,AM08ANS.JPG,SILENCE,no-prime,babble_99.wav,humor_reversed.wav,kontor_reversed.wav,0,2,2,2,0,-1,-1,0,,,1,1.587434500004747,real_4353,001,2025-11-24_10-26-02,
76,AM07NES.JPG,SILENCE,no-prime,babble_19.wav,kontor_reversed.wav,ketchup_reversed.wav,0,3,3,3,0,-1,-1,0,,,2,1.6712775830019382,real_4353,001,2025-11-24_10-26-02,
58,AM18ANS.JPG,redning_compressed.wav,positive,babble_89.wav,baby_reversed.wav,festlig_reversed.wav,0,4,4,4,0,-1,-1,0,,,2,0.5758137500015437,real_4353,001,2025-11-24_10-26-02,
155,AF14HAS.JPG,offer_compressed.wav,negative,babble_26.wav,skammel_reversed.wav,ensom_reversed.wav,0,5,5,5,0,-1,-1,0,,,8,1.2999486670014448,real_4353,001,2025-11-24_10-26-02,
130,AM07ANS.JPG,sandhed_compressed.wav,positive,babble_33.wav,avis_reversed.wav,rædsel_reversed.wav,,,,,0,0,0,0,,,1,0.31349979100195924,real_4353,001,2025-11-24_10-26-02,
190,AM04ANS.JPG,cirkus_compressed.wav,positive,babble_10.wav,hader_reversed.wav,borddug_reversed.wav,,,,,0,1,1,1,,,3,0.1055811249971157,real_4353,001,2025-11-24_10-26-02,
129,AF29HAS.JPG,djævel_compressed.wav,negative,babble_59.wav,vinde_reversed.wav,taxa_reversed.wav,,,,,0,2,2,2,,,6,0.5844592499997816,real_4353,001,2025-11-24_10-26-02,
45,AF18NES.JPG,slave_compressed.wav,negative,babble_41.wav,viden_reversed.wav,konge_reversed.wav,,,,,0,3,3,3,,,4,1.2920018750010058,real_4353,001,2025-11-24_10-26-02,
