signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,trial_outcome,signal_type,compression_level,correct_word,prime_file,babble_duration,Participant ID,Session,date,
present,0.6,frelser_compressed.wav,frelser,babble_9.wav,nonsens_reversed.wav,sæde_reversed.wav,,,,,0,10,10,10,m,0.9378666877746582,Hit,present,0.6,frelser,frelser_compressed.wav,0.5241636557334465,0810,001,2025-11-26_20-29-23,
present,0.3,gratis_compressed.wav,gratis,babble_3.wav,skønhed_reversed.wav,morder_reversed.wav,,,,,0,11,11,11,m,1.386366844177246,Hit,present,0.3,gratis,gratis_compressed.wav,0.6820082830215494,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_85.wav,talent_reversed.wav,væmmes_reversed.wav,,,,,0,12,12,12,z,0.5241982936859131,Correct Rejection,absent,0.1,NA,SILENCE,0.8817831840658769,0810,001,2025-11-26_20-29-23,
present,0.4,venlig_compressed.wav,venlig,babble_61.wav,konge_reversed.wav,luksus_reversed.wav,,,,,0,13,13,13,z,3.797183036804199,Miss,present,0.4,venlig,venlig_compressed.wav,0.813421784449264,0810,001,2025-11-26_20-29-23,
present,0.5,finger_compressed.wav,finger,babble_63.wav,sollys_reversed.wav,koldbrand_reversed.wav,,,,,0,14,14,14,z,1.4022092819213867,Miss,present,0.5,finger,finger_compressed.wav,0.7740830153305922,0810,001,2025-11-26_20-29-23,
present,0.1,slagtning_compressed.wav,slagtning,babble_48.wav,konge_reversed.wav,misbrug_reversed.wav,,,,,0,15,15,15,m,0.5286297798156738,Hit,present,0.1,slagtning,slagtning_compressed.wav,1.310480828664836,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_7.wav,marked_reversed.wav,blodig_reversed.wav,,,,,0,16,16,16,z,1.158583641052246,Correct Rejection,absent,0.4,NA,SILENCE,1.2281500519357484,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_6.wav,trofæ_reversed.wav,forfald_reversed.wav,,,,,0,17,17,17,z,1.2047860622406006,Correct Rejection,absent,0.3,NA,SILENCE,1.2975698279419037,0810,001,2025-11-26_20-29-23,
present,0.4,papir_compressed.wav,papir,babble_48.wav,mester_reversed.wav,borddug_reversed.wav,,,,,0,18,18,18,m,0.47513628005981445,Hit,present,0.4,papir,papir_compressed.wav,0.6623768543070577,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_56.wav,frygtsom_reversed.wav,engel_reversed.wav,,,,,0,19,19,19,z,0.5984594821929932,Correct Rejection,absent,0.3,NA,SILENCE,1.4552802590452814,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_45.wav,natur_reversed.wav,koldbrand_reversed.wav,,,,,0,20,20,20,z,0.5898237228393555,Correct Rejection,absent,0.2,NA,SILENCE,1.2316438453960799,0810,001,2025-11-26_20-29-23,
present,0.1,krise_compressed.wav,krise,babble_5.wav,bange_reversed.wav,baby_reversed.wav,,,,,0,21,21,21,z,1.0095057487487793,Miss,present,0.1,krise,krise_compressed.wav,1.3440843553397008,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_71.wav,patent_reversed.wav,oprørt_reversed.wav,,,,,0,22,22,22,z,1.054058313369751,Correct Rejection,absent,0.5,NA,SILENCE,1.4809506453855454,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_18.wav,ankel_reversed.wav,mave_reversed.wav,,,,,0,23,23,23,z,1.1335163116455078,Correct Rejection,absent,0.4,NA,SILENCE,0.9150201657257672,0810,001,2025-11-26_20-29-23,
present,0.7,leder_compressed.wav,leder,babble_25.wav,rotte_reversed.wav,natur_reversed.wav,,,,,0,24,24,24,z,1.149064302444458,Miss,present,0.7,leder,leder_compressed.wav,0.5729115336903547,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_46.wav,sygdom_reversed.wav,hader_reversed.wav,,,,,0,25,25,25,m,4.37350058555603,False Alarm,absent,0.6,NA,SILENCE,1.0201381886754444,0810,001,2025-11-26_20-29-23,
present,0.1,ledning_compressed.wav,ledning,babble_41.wav,respekt_reversed.wav,motor_reversed.wav,,,,,0,26,26,26,m,0.6132590770721436,Hit,present,0.1,ledning,ledning_compressed.wav,1.2512551821125077,0810,001,2025-11-26_20-29-23,
absent,0.1,SILENCE,NA,babble_53.wav,accept_reversed.wav,hjerte_reversed.wav,,,,,0,27,27,27,m,1.0035524368286133,False Alarm,absent,0.1,NA,SILENCE,1.2679913186600513,0810,001,2025-11-26_20-29-23,
absent,0.4,SILENCE,NA,babble_22.wav,humor_reversed.wav,trussel_reversed.wav,,,,,0,28,28,28,z,0.5149996280670166,Correct Rejection,absent,0.4,NA,SILENCE,1.1790119789533278,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_60.wav,trussel_reversed.wav,tumor_reversed.wav,,,,,0,29,29,29,z,1.2499184608459473,Correct Rejection,absent,0.5,NA,SILENCE,1.3885650507259495,0810,001,2025-11-26_20-29-23,
present,0.4,minder_compressed.wav,minder,babble_73.wav,frihed_reversed.wav,oprørt_reversed.wav,,,,,0,30,30,30,m,0.8595218658447266,Hit,present,0.4,minder,minder_compressed.wav,1.1787943825912284,0810,001,2025-11-26_20-29-23,
present,0.4,hjerte_compressed.wav,hjerte,babble_42.wav,museum_reversed.wav,bifald_reversed.wav,,,,,0,31,31,31,z,4.272686958312988,Miss,present,0.4,hjerte,hjerte_compressed.wav,0.9048009121146424,0810,001,2025-11-26_20-29-23,
present,0.7,natur_compressed.wav,natur,babble_20.wav,måned_reversed.wav,kontor_reversed.wav,,,,,0,32,32,32,m,0.6055853366851807,Hit,present,0.7,natur,natur_compressed.wav,0.9346392413014206,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_54.wav,putte_reversed.wav,glæde_reversed.wav,,,,,0,33,33,33,z,0.5976717472076416,Correct Rejection,absent,0.2,NA,SILENCE,1.2098412742368425,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_24.wav,nøgle_reversed.wav,bifald_reversed.wav,,,,,0,34,34,34,z,2.1682229042053223,Correct Rejection,absent,0.6,NA,SILENCE,1.000945394450302,0810,001,2025-11-26_20-29-23,
present,0.2,mester_compressed.wav,mester,babble_17.wav,illoyal_reversed.wav,dæmon_reversed.wav,,,,,0,35,35,35,m,0.5010077953338623,Hit,present,0.2,mester,mester_compressed.wav,0.6942051121035213,0810,001,2025-11-26_20-29-23,
present,0.2,festlig_compressed.wav,festlig,babble_53.wav,væmmes_reversed.wav,rigdom_reversed.wav,,,,,0,36,36,36,z,0.7989084720611572,Miss,present,0.2,festlig,festlig_compressed.wav,0.6899745288001045,0810,001,2025-11-26_20-29-23,
present,0.3,salat_compressed.wav,salat,babble_67.wav,dæmpet_reversed.wav,sygdom_reversed.wav,,,,,0,37,37,37,z,2.7378125190734863,Miss,present,0.3,salat,salat_compressed.wav,1.3445507867359572,0810,001,2025-11-26_20-29-23,
present,0.5,brutal_compressed.wav,brutal,babble_75.wav,mave_reversed.wav,marked_reversed.wav,,,,,0,38,38,38,z,2.7412357330322266,Miss,present,0.5,brutal,brutal_compressed.wav,1.0276596409600591,0810,001,2025-11-26_20-29-23,
absent,0.3,SILENCE,NA,babble_56.wav,ensom_reversed.wav,ugle_reversed.wav,,,,,0,39,39,39,z,1.4852006435394287,Correct Rejection,absent,0.3,NA,SILENCE,0.6990559703934187,0810,001,2025-11-26_20-29-23,
absent,0.2,SILENCE,NA,babble_72.wav,sexet_reversed.wav,forkert_reversed.wav,,,,,0,40,40,40,z,1.1292939186096191,Correct Rejection,absent,0.2,NA,SILENCE,1.3045237534873908,0810,001,2025-11-26_20-29-23,
present,0.5,grusom_compressed.wav,grusom,babble_61.wav,forkert_reversed.wav,kugle_reversed.wav,,,,,0,41,41,41,z,2.0274949073791504,Miss,present,0.5,grusom,grusom_compressed.wav,0.7724051141308252,0810,001,2025-11-26_20-29-23,
absent,0.6,SILENCE,NA,babble_16.wav,latter_reversed.wav,knude_reversed.wav,,,,,0,42,42,42,m,3.526238441467285,False Alarm,absent,0.6,NA,SILENCE,1.3244070767418923,0810,001,2025-11-26_20-29-23,
present,0.5,gade_compressed.wav,gade,babble_66.wav,frygtsom_reversed.wav,krise_reversed.wav,,,,,0,43,43,43,m,0.48450422286987305,Hit,present,0.5,gade,gade_compressed.wav,0.7018940056404664,0810,001,2025-11-26_20-29-23,
present,0.5,putte_compressed.wav,putte,babble_94.wav,latter_reversed.wav,opstemt_reversed.wav,,,,,0,44,44,44,z,3.315782070159912,Miss,present,0.5,putte,putte_compressed.wav,0.9357207586738034,0810,001,2025-11-26_20-29-23,
present,0.1,måned_compressed.wav,måned,babble_56.wav,himlen_reversed.wav,natur_reversed.wav,,,,,0,45,45,45,m,0.6881577968597412,Hit,present,0.1,måned,måned_compressed.wav,1.4249359324210813,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_38.wav,syndig_reversed.wav,ensom_reversed.wav,,,,,0,46,46,46,z,1.3391437530517578,Correct Rejection,absent,0.5,NA,SILENCE,0.9189603921151358,0810,001,2025-11-26_20-29-23,
present,0.6,kærtegn_compressed.wav,kærtegn,babble_30.wav,bombe_reversed.wav,forpint_reversed.wav,,,,,0,47,47,47,z,0.6480555534362793,Miss,present,0.6,kærtegn,kærtegn_compressed.wav,0.8790585216585814,0810,001,2025-11-26_20-29-23,
present,0.3,forkert_compressed.wav,forkert,babble_55.wav,dæmpet_reversed.wav,sollys_reversed.wav,,,,,0,48,48,48,z,3.8653717041015625,Miss,present,0.3,forkert,forkert_compressed.wav,1.0385733404888438,0810,001,2025-11-26_20-29-23,
absent,0.5,SILENCE,NA,babble_99.wav,ankel_reversed.wav,giftig_reversed.wav,,,,,0,49,49,49,z,2.4414191246032715,Correct Rejection,absent,0.5,NA,SILENCE,1.0296145703471302,0810,001,2025-11-26_20-29-23,
