signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,trial_outcome,signal_type,compression_level,correct_word,prime_file,babble_duration,Participant ID,Session,date,
present,0.7,vinde_compressed.wav,vinde,babble_0.wav,magisk_reversed.wav,skyldig_reversed.wav,0,0,0,0,0,-1,-1,0,m,38.25081205368042,Hit,present,0.7,vinde,vinde_compressed.wav,0.6236469485059434,1234,001,2025-11-28_15-53-01,
absent,0.2,SILENCE,NA,babble_9.wav,grusom_reversed.wav,cirkel_reversed.wav,0,1,1,1,0,-1,-1,0,z,1.9297020435333252,Correct Rejection,absent,0.2,NA,SILENCE,0.8495535361364975,1234,001,2025-11-28_15-53-01,
present,0.5,hårnål_compressed.wav,hårnål,babble_23.wav,fængsel_reversed.wav,røver_reversed.wav,0,2,2,2,0,-1,-1,0,m,2.2740261554718018,Hit,present,0.5,hårnål,hårnål_compressed.wav,1.4818552553760336,1234,001,2025-11-28_15-53-01,
absent,0.7,SILENCE,NA,babble_36.wav,maling_reversed.wav,vandal_reversed.wav,0,3,3,3,0,-1,-1,0,z,0.7319231033325195,Correct Rejection,absent,0.7,NA,SILENCE,0.9561212080175079,1234,001,2025-11-28_15-53-01,
present,0.3,diamant_compressed.wav,diamant,babble_40.wav,ønske_reversed.wav,accept_reversed.wav,0,4,4,4,0,-1,-1,0,m,0.501054048538208,Hit,present,0.3,diamant,diamant_compressed.wav,0.6047885587903895,1234,001,2025-11-28_15-53-01,
absent,0.5,SILENCE,NA,babble_28.wav,taber_reversed.wav,frihed_reversed.wav,0,5,5,5,0,-1,-1,0,z,0.5806999206542969,Correct Rejection,absent,0.5,NA,SILENCE,1.1422892174775132,1234,001,2025-11-28_15-53-01,
absent,0.4,SILENCE,NA,babble_11.wav,vandal_reversed.wav,affald_reversed.wav,0,6,6,6,0,-1,-1,0,z,0.679034948348999,Correct Rejection,absent,0.4,NA,SILENCE,0.5913481108099866,1234,001,2025-11-28_15-53-01,
absent,0.1,SILENCE,NA,babble_57.wav,sæde_reversed.wav,respekt_reversed.wav,0,7,7,7,0,-1,-1,0,z,1.5713310241699219,Correct Rejection,absent,0.1,NA,SILENCE,1.2616880778027133,1234,001,2025-11-28_15-53-01,
present,0.4,kande_compressed.wav,kande,babble_48.wav,humor_reversed.wav,spise_reversed.wav,0,8,8,8,0,-1,-1,0,m,1.0264229774475098,Hit,present,0.4,kande,kande_compressed.wav,1.1600587729545218,1234,001,2025-11-28_15-53-01,
present,0.2,skyldig_compressed.wav,skyldig,babble_6.wav,skade_reversed.wav,lampe_reversed.wav,0,9,9,9,0,-1,-1,0,z,0.6103658676147461,Miss,present,0.2,skyldig,skyldig_compressed.wav,0.6602034012391188,1234,001,2025-11-28_15-53-01,
present,0.1,fremskridt_compressed.wav,fremskridt,babble_38.wav,poesi_reversed.wav,mave_reversed.wav,0,10,10,10,0,-1,-1,0,m,0.40394091606140137,Hit,present,0.1,fremskridt,fremskridt_compressed.wav,1.0193527057510485,1234,001,2025-11-28_15-53-01,
absent,0.6,SILENCE,NA,babble_43.wav,slagtning_reversed.wav,voldtægt_reversed.wav,0,11,11,11,0,-1,-1,0,z,1.801621913909912,Correct Rejection,absent,0.6,NA,SILENCE,0.7359775834073294,1234,001,2025-11-28_15-53-01,
present,0.6,papir_compressed.wav,papir,babble_76.wav,vinde_reversed.wav,slagtning_reversed.wav,0,12,12,12,0,-1,-1,0,m,0.767287015914917,Hit,present,0.6,papir,papir_compressed.wav,1.4239676801377277,1234,001,2025-11-28_15-53-01,
absent,0.3,SILENCE,NA,babble_9.wav,slagtning_reversed.wav,ugle_reversed.wav,0,13,13,13,0,-1,-1,0,z,0.5920531749725342,Correct Rejection,absent,0.3,NA,SILENCE,1.4580353806099615,1234,001,2025-11-28_15-53-01,
present,0.1,banner_compressed.wav,banner,babble_91.wav,venlig_reversed.wav,fiasko_reversed.wav,,,,,0,0,0,0,m,0.32746195793151855,Hit,present,0.1,banner,banner_compressed.wav,0.804701859945935,1234,001,2025-11-28_15-53-01,
absent,0.7,SILENCE,NA,babble_73.wav,rådden_reversed.wav,slave_reversed.wav,,,,,0,1,1,1,z,0.3973419666290283,Correct Rejection,absent,0.7,NA,SILENCE,1.4357576290526106,1234,001,2025-11-28_15-53-01,
absent,0.3,SILENCE,NA,babble_72.wav,gidsel_reversed.wav,marked_reversed.wav,,,,,0,2,2,2,z,0.49325084686279297,Correct Rejection,absent,0.3,NA,SILENCE,1.2534567032447077,1234,001,2025-11-28_15-53-01,
present,0.4,sollys_compressed.wav,sollys,babble_32.wav,knude_reversed.wav,lærer_reversed.wav,,,,,0,3,3,3,m,0.3487839698791504,Hit,present,0.4,sollys,sollys_compressed.wav,1.1763871789481084,1234,001,2025-11-28_15-53-01,
present,0.4,ankel_compressed.wav,ankel,babble_77.wav,pude_reversed.wav,ferie_reversed.wav,,,,,0,4,4,4,z,0.5307419300079346,Miss,present,0.4,ankel,ankel_compressed.wav,0.6729650967996625,1234,001,2025-11-28_15-53-01,
present,0.5,leder_compressed.wav,leder,babble_83.wav,gidsel_reversed.wav,gave_reversed.wav,,,,,0,5,5,5,z,0.4127171039581299,Miss,present,0.5,leder,leder_compressed.wav,1.0101594660579023,1234,001,2025-11-28_15-53-01,
absent,0.6,SILENCE,NA,babble_57.wav,fremskridt_reversed.wav,maling_reversed.wav,,,,,0,6,6,6,z,0.5560669898986816,Correct Rejection,absent,0.6,NA,SILENCE,1.4252267523170148,1234,001,2025-11-28_15-53-01,
present,0.3,bifald_compressed.wav,bifald,babble_41.wav,vinde_reversed.wav,statue_reversed.wav,,,,,0,7,7,7,z,0.5886719226837158,Miss,present,0.3,bifald,bifald_compressed.wav,0.8466502859888032,1234,001,2025-11-28_15-53-01,
present,0.2,marked_compressed.wav,marked,babble_46.wav,venlig_reversed.wav,fjendtlig_reversed.wav,,,,,0,8,8,8,z,1.1197450160980225,Miss,present,0.2,marked,marked_compressed.wav,1.0820811865533175,1234,001,2025-11-28_15-53-01,
present,0.6,himlen_compressed.wav,himlen,babble_86.wav,opstemt_reversed.wav,albue_reversed.wav,,,,,0,9,9,9,m,0.3078160285949707,Hit,present,0.6,himlen,himlen_compressed.wav,0.770685311014861,1234,001,2025-11-28_15-53-01,
present,0.7,forpint_compressed.wav,forpint,babble_91.wav,grimme_reversed.wav,forkert_reversed.wav,,,,,0,10,10,10,z,0.377147912979126,Miss,present,0.7,forpint,forpint_compressed.wav,0.65366688732768,1234,001,2025-11-28_15-53-01,
present,0.6,spise_compressed.wav,spise,,,,,,,,,,,,escape,157.16677498817444,NA,present,0.6,spise,spise_compressed.wav,1.4595440819379526,,,,
