signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,trial_outcome,signal_type,compression_level,correct_word,prime_file,babble_duration,Participant ID,Session,date,
absent,0.4,SILENCE,NA,babble_75.wav,pervers_reversed.wav,trofæ_reversed.wav,0,0,0,0,0,-1,-1,0,z,3.211277961730957,Correct Rejection,absent,0.4,NA,SILENCE,1.1110493198301352,7896,001,2025-11-17_09-26-58,
absent,0.5,SILENCE,NA,babble_78.wav,ørken_reversed.wav,traume_reversed.wav,0,1,1,1,0,-1,-1,0,z,1.772979974746704,Correct Rejection,absent,0.5,NA,SILENCE,0.7334702122817642,7896,001,2025-11-17_09-26-58,
present,0.4,dollar_compressed.wav,dollar,babble_14.wav,vandal_reversed.wav,bombe_reversed.wav,0,2,2,2,0,-1,-1,0,m,1.5687379837036133,Hit,present,0.4,dollar,dollar_compressed.wav,0.9816285608846927,7896,001,2025-11-17_09-26-58,
present,0.1,plakat_compressed.wav,plakat,babble_6.wav,hage_reversed.wav,enhed_reversed.wav,0,3,3,3,0,-1,-1,0,m,0.5265581607818604,Hit,present,0.1,plakat,plakat_compressed.wav,0.7194599643187893,7896,001,2025-11-17_09-26-58,
absent,0.2,SILENCE,NA,babble_58.wav,morder_reversed.wav,grusom_reversed.wav,0,4,4,4,0,-1,-1,0,z,0.9617011547088623,Correct Rejection,absent,0.2,NA,SILENCE,0.9679875919326837,7896,001,2025-11-17_09-26-58,
present,0.2,ønske_compressed.wav,ønske,babble_23.wav,nonsens_reversed.wav,plakat_reversed.wav,0,5,5,5,0,-1,-1,0,z,0.8678228855133057,Miss,present,0.2,ønske,ønske_compressed.wav,1.352259571502878,7896,001,2025-11-17_09-26-58,
present,0.7,rabies_compressed.wav,rabies,babble_59.wav,skammel_reversed.wav,gave_reversed.wav,0,6,6,6,0,-1,-1,0,m,1.4315650463104248,Hit,present,0.7,rabies,rabies_compressed.wav,0.7505792784090782,7896,001,2025-11-17_09-26-58,
absent,0.3,SILENCE,NA,babble_9.wav,tilfreds_reversed.wav,statue_reversed.wav,0,7,7,7,0,-1,-1,0,z,0.8221621513366699,Correct Rejection,absent,0.3,NA,SILENCE,1.2230486935226983,7896,001,2025-11-17_09-26-58,
present,0.6,viden_compressed.wav,viden,babble_19.wav,humor_reversed.wav,passion_reversed.wav,0,8,8,8,0,-1,-1,0,z,1.1081690788269043,Miss,present,0.6,viden,viden_compressed.wav,0.8656445234454357,7896,001,2025-11-17_09-26-58,
present,0.3,fremskridt_compressed.wav,fremskridt,babble_48.wav,fjendtlig_reversed.wav,syndig_reversed.wav,0,9,9,9,0,-1,-1,0,m,1.2288539409637451,Hit,present,0.3,fremskridt,fremskridt_compressed.wav,1.1957968967200614,7896,001,2025-11-17_09-26-58,
absent,0.6,SILENCE,NA,babble_25.wav,oprør_reversed.wav,leder_reversed.wav,0,10,10,10,0,-1,-1,0,z,1.3670179843902588,Correct Rejection,absent,0.6,NA,SILENCE,0.981656943678062,7896,001,2025-11-17_09-26-58,
