signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.4,kujon_compressed.wav,kujon,babble_77.wav,pjece_reversed.wav,avis_reversed.wav,,,,,0,93,93,93,,,z,0.565803166013211,Miss,1.4108538746850514,99999,001,2025-11-20_13-11-42,
absent,0.6,SILENCE,NA,babble_43.wav,fængsel_reversed.wav,vandfald_reversed.wav,,,,,0,94,94,94,,,z,0.7003165000060108,Correct Rejection,0.9690076542935517,99999,001,2025-11-20_13-11-42,
absent,0.4,SILENCE,NA,babble_59.wav,nedbrud_reversed.wav,fængsel_reversed.wav,,,,,0,95,95,95,,,z,0.9553999170020688,Correct Rejection,0.5738082861339961,99999,001,2025-11-20_13-11-42,
absent,0.5,SILENCE,NA,babble_62.wav,magisk_reversed.wav,gidsel_reversed.wav,,,,,0,96,96,96,,,z,0.6697183749929536,Correct Rejection,1.4338162389719327,99999,001,2025-11-20_13-11-42,
absent,0.3,SILENCE,NA,babble_22.wav,kiste_reversed.wav,hånlig_reversed.wav,,,,,0,97,97,97,,,z,0.41506245799246244,Correct Rejection,1.3823811366276102,99999,001,2025-11-20_13-11-42,
present,0.4,ærlig_compressed.wav,ærlig,babble_51.wav,bombe_reversed.wav,feber_reversed.wav,,,,,0,98,98,98,,,z,0.6683183329878375,Miss,1.107670598854145,99999,001,2025-11-20_13-11-42,
present,0.5,illoyal_compressed.wav,illoyal,babble_34.wav,blomstre_reversed.wav,boble_reversed.wav,,,,,0,99,99,99,,,z,0.5950876670249272,Miss,0.6299951475060317,99999,001,2025-11-20_13-11-42,
present,0.5,kontor_compressed.wav,kontor,babble_80.wav,museum_reversed.wav,fase_reversed.wav,,,,,0,100,100,100,,,m,0.2391870419960469,Hit,1.1278154339418354,99999,001,2025-11-20_13-11-42,
present,0.3,nonsens_compressed.wav,nonsens,babble_43.wav,bombe_reversed.wav,rædsel_reversed.wav,,,,,0,101,101,101,,,z,1.3794815410219599,Miss,1.1326842222709836,99999,001,2025-11-20_13-11-42,
present,0.6,rådden_compressed.wav,rådden,babble_36.wav,skammel_reversed.wav,kontor_reversed.wav,,,,,0,102,102,102,,,z,0.4288134170055855,Miss,0.8863332423682269,99999,001,2025-11-20_13-11-42,
