signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.4,SILENCE,NA,babble_11.wav,dæmpet_reversed.wav,avis_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,5.783943042000828,Correct Rejection,0.6631401998090563,1133445,001,2025-11-22_15-56-50,
absent,0.1,SILENCE,NA,babble_2.wav,konkurs_reversed.wav,trussel_reversed.wav,0,1,1,1,0,-1,-1,0,,,z,1.606482541999867,Correct Rejection,1.0701250845891845,1133445,001,2025-11-22_15-56-50,
absent,0.3,SILENCE,NA,babble_19.wav,avis_reversed.wav,ørken_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.7131137910000689,Correct Rejection,0.8960125283519298,1133445,001,2025-11-22_15-56-50,
absent,0.2,SILENCE,NA,babble_33.wav,djævel_reversed.wav,dæmpet_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,1.5968569169999682,Correct Rejection,1.0808163431878048,1133445,001,2025-11-22_15-56-50,
present,0.1,himmel_compressed.wav,himmel,babble_75.wav,genert_reversed.wav,skønhed_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,4.074321166999653,Miss,0.9588751334213019,1133445,001,2025-11-22_15-56-50,
present,0.7,giftig_compressed.wav,giftig,babble_87.wav,ledning_reversed.wav,lampe_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,3.341178332999334,Miss,0.7470922372869039,1133445,001,2025-11-22_15-56-50,
absent,0.6,SILENCE,NA,babble_1.wav,sejre_reversed.wav,kage_reversed.wav,0,6,6,6,0,-1,-1,0,,,m,2.3590226249998523,False Alarm,1.2005216296540206,1133445,001,2025-11-22_15-56-50,
absent,0.5,SILENCE,NA,babble_76.wav,natur_reversed.wav,kiste_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,2.76824866700008,Correct Rejection,0.932284299052219,1133445,001,2025-11-22_15-56-50,
absent,0.7,SILENCE,NA,babble_97.wav,nonsens_reversed.wav,taxa_reversed.wav,0,8,8,8,0,-1,-1,0,,,m,1.3457007920005708,False Alarm,0.5424802373724139,1133445,001,2025-11-22_15-56-50,
present,0.5,latter_compressed.wav,latter,babble_82.wav,lærer_reversed.wav,gratis_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,17.08780737500092,Miss,1.343981312087319,1133445,001,2025-11-22_15-56-50,
present,0.3,nonne_compressed.wav,nonne,babble_91.wav,skade_reversed.wav,hage_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,4.488162917001318,Miss,1.4911526204866674,1133445,001,2025-11-22_15-56-50,
present,0.2,offer_compressed.wav,offer,babble_97.wav,sandhed_reversed.wav,museum_reversed.wav,0,11,11,11,0,-1,-1,0,,,z,1.6990453750004235,Miss,0.7247949530109575,1133445,001,2025-11-22_15-56-50,
present,0.4,kedel_compressed.wav,kedel,babble_17.wav,mave_reversed.wav,respekt_reversed.wav,0,12,12,12,0,-1,-1,0,,,z,1.8548969169987686,Miss,1.4097831064665964,1133445,001,2025-11-22_15-56-50,
present,0.6,hader_compressed.wav,hader,babble_30.wav,nøgle_reversed.wav,affald_reversed.wav,0,13,13,13,0,-1,-1,0,,,z,0.6339413330006209,Miss,1.3918795781553128,1133445,001,2025-11-22_15-56-50,
absent,0.5,SILENCE,NA,babble_10.wav,sikker_reversed.wav,skade_reversed.wav,,,,,0,0,0,0,,,z,1.2531118750011956,Correct Rejection,1.4932994306176708,1133445,001,2025-11-22_15-56-50,
absent,0.7,SILENCE,NA,babble_0.wav,traume_reversed.wav,ankel_reversed.wav,,,,,0,1,1,1,,,z,0.3039450830001442,Correct Rejection,0.9504832913693904,1133445,001,2025-11-22_15-56-50,
present,0.4,skammel_compressed.wav,skammel,babble_59.wav,sygdom_reversed.wav,mave_reversed.wav,,,,,0,2,2,2,,,z,0.4089510409976356,Miss,1.3875359110897039,1133445,001,2025-11-22_15-56-50,
absent,0.5,SILENCE,NA,babble_61.wav,oprørt_reversed.wav,beskidt_reversed.wav,,,,,0,3,3,3,,,z,0.5262396250000165,Correct Rejection,1.4440049721967683,1133445,001,2025-11-22_15-56-50,
