signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
present,0.5,skønhed_compressed.wav,skønhed,babble_58.wav,djævel_reversed.wav,bygning_reversed.wav,,,,,0,135,135,135,,,m,0.49310909999985597,Hit,0.6431319996483851,2011,001,2025-11-20_15-05-10,
present,0.2,bange_compressed.wav,bange,babble_29.wav,oprørt_reversed.wav,rigdom_reversed.wav,,,,,0,136,136,136,,,z,0.8475607000000309,Miss,0.8478841381473969,2011,001,2025-11-20_15-05-10,
present,0.6,pjece_compressed.wav,pjece,babble_49.wav,genert_reversed.wav,violin_reversed.wav,,,,,0,137,137,137,,,m,0.7944213999981002,Hit,0.8940614459997132,2011,001,2025-11-20_15-05-10,
absent,0.2,SILENCE,NA,babble_25.wav,spænding_reversed.wav,dollar_reversed.wav,,,,,0,138,138,138,,,z,0.7064754000020912,Correct Rejection,0.9407638945616661,2011,001,2025-11-20_15-05-10,
absent,0.4,SILENCE,NA,babble_55.wav,tilfreds_reversed.wav,slave_reversed.wav,,,,,0,139,139,139,,,z,1.1807988000000478,Correct Rejection,0.8602543985840803,2011,001,2025-11-20_15-05-10,
present,0.5,sikker_compressed.wav,sikker,babble_93.wav,kugle_reversed.wav,talent_reversed.wav,,,,,0,140,140,140,,,z,1.0539879999996629,Miss,0.7386619274601928,2011,001,2025-11-20_15-05-10,
present,0.4,ugle_compressed.wav,ugle,babble_65.wav,kage_reversed.wav,tilfreds_reversed.wav,,,,,0,141,141,141,,,z,0.6917600000015227,Miss,1.169456098854465,2011,001,2025-11-20_15-05-10,
present,0.2,sollys_compressed.wav,sollys,babble_80.wav,konge_reversed.wav,smerte_reversed.wav,,,,,0,142,142,142,,,m,1.326099100002466,Hit,1.2996582420956195,2011,001,2025-11-20_15-05-10,
absent,0.3,SILENCE,NA,babble_56.wav,opstemt_reversed.wav,traume_reversed.wav,,,,,0,143,143,143,,,z,0.9355364000002737,Correct Rejection,0.775834303611285,2011,001,2025-11-20_15-05-10,
absent,0.7,SILENCE,NA,babble_29.wav,oprør_reversed.wav,hånlig_reversed.wav,,,,,0,144,144,144,,,z,1.240108500001952,Correct Rejection,0.809988636673282,2011,001,2025-11-20_15-05-10,
absent,0.5,SILENCE,NA,babble_33.wav,ørken_reversed.wav,frihed_reversed.wav,,,,,0,145,145,145,,,z,1.0291797000027145,Correct Rejection,1.216032238996207,2011,001,2025-11-20_15-05-10,
absent,0.4,SILENCE,NA,babble_59.wav,skyldig_reversed.wav,modgang_reversed.wav,,,,,0,146,146,146,,,z,1.1867818999999145,Correct Rejection,0.6175734313204306,2011,001,2025-11-20_15-05-10,
absent,0.2,SILENCE,NA,babble_38.wav,fiasko_reversed.wav,lækker_reversed.wav,,,,,0,147,147,147,,,z,0.9466854000020248,Correct Rejection,0.7969410322939926,2011,001,2025-11-20_15-05-10,
present,0.3,bryllup_compressed.wav,bryllup,babble_5.wav,pude_reversed.wav,statue_reversed.wav,,,,,0,148,148,148,,,z,0.6510745999985375,Miss,0.7839301408891558,2011,001,2025-11-20_15-05-10,
present,0.7,varme_compressed.wav,varme,babble_33.wav,selvmord_reversed.wav,sæde_reversed.wav,,,,,0,149,149,149,,,m,0.3465938000008464,Hit,1.3084599541995336,2011,001,2025-11-20_15-05-10,
present,0.7,grimme_compressed.wav,grimme,babble_56.wav,forfald_reversed.wav,nonsens_reversed.wav,,,,,0,150,150,150,,,m,0.9814688000005845,Hit,0.8061911645375275,2011,001,2025-11-20_15-05-10,
absent,0.4,SILENCE,NA,babble_48.wav,søsyg_reversed.wav,venlig_reversed.wav,,,,,0,151,151,151,,,z,3.320015900000726,Correct Rejection,0.7556875537904659,2011,001,2025-11-20_15-05-10,
present,0.1,kæle_compressed.wav,kæle,babble_19.wav,diamant_reversed.wav,syndig_reversed.wav,,,,,0,152,152,152,,,z,0.610290000000532,Miss,0.9990735581475435,2011,001,2025-11-20_15-05-10,
absent,0.5,SILENCE,NA,babble_7.wav,natur_reversed.wav,festlig_reversed.wav,,,,,0,153,153,153,,,z,0.5920336999988649,Correct Rejection,1.3295245887268408,2011,001,2025-11-20_15-05-10,
present,0.6,fremskridt_compressed.wav,fremskridt,babble_37.wav,forpint_reversed.wav,kiste_reversed.wav,,,,,0,154,154,154,,,m,0.2587796999978309,Hit,1.445659790727721,2011,001,2025-11-20_15-05-10,
present,0.2,slagtning_compressed.wav,slagtning,babble_81.wav,redning_reversed.wav,sæde_reversed.wav,,,,,0,155,155,155,,,m,1.058353200001875,Hit,1.2946921739766541,2011,001,2025-11-20_15-05-10,
present,0.4,passion_compressed.wav,passion,babble_43.wav,blodig_reversed.wav,sæde_reversed.wav,,,,,0,156,156,156,,,m,1.4811322999994445,Hit,0.5274567103709726,2011,001,2025-11-20_15-05-10,
present,0.1,patent_compressed.wav,patent,babble_50.wav,fiasko_reversed.wav,fiasko_reversed.wav,,,,,0,157,157,157,,,m,0.6338701000022411,Hit,0.8804307823163351,2011,001,2025-11-20_15-05-10,
absent,0.7,SILENCE,NA,babble_86.wav,vandal_reversed.wav,skade_reversed.wav,,,,,0,158,158,158,,,z,1.2195479000001797,Correct Rejection,1.3137644788079115,2011,001,2025-11-20_15-05-10,
present,0.4,hånlig_compressed.wav,hånlig,babble_63.wav,enhed_reversed.wav,flirte_reversed.wav,,,,,0,159,159,159,,,z,0.7779482000005373,Miss,1.0745064012618037,2011,001,2025-11-20_15-05-10,
absent,0.3,SILENCE,NA,babble_45.wav,himmel_reversed.wav,kande_reversed.wav,,,,,0,160,160,160,,,z,0.9537205000015092,Correct Rejection,1.4140793664405602,2011,001,2025-11-20_15-05-10,
