signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.7,SILENCE,NA,babble_71.wav,ønske_reversed.wav,pjece_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,2.321926708013052,Correct Rejection,1.1235691951582283,234567,001,2025-11-19_08-25-31,
present,0.5,traume_compressed.wav,traume,babble_73.wav,ankel_reversed.wav,kugle_reversed.wav,0,1,1,1,0,-1,-1,0,,,m,1.2429652079881635,Hit,0.7767656110498562,234567,001,2025-11-19_08-25-31,
present,0.4,latter_compressed.wav,latter,babble_13.wav,rotte_reversed.wav,kage_reversed.wav,0,2,2,2,0,-1,-1,0,,,z,1.2629263749986421,Miss,1.2246381044230965,234567,001,2025-11-19_08-25-31,
present,0.1,lampe_compressed.wav,lampe,babble_81.wav,spise_reversed.wav,forpint_reversed.wav,0,3,3,3,0,-1,-1,0,,,z,1.2101435840013437,Miss,1.4272253381605897,234567,001,2025-11-19_08-25-31,
absent,0.5,SILENCE,NA,babble_53.wav,fængsel_reversed.wav,søsyg_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,0.9900948750146199,Correct Rejection,1.0759457236235894,234567,001,2025-11-19_08-25-31,
present,0.3,skade_compressed.wav,skade,babble_37.wav,hader_reversed.wav,brænde_reversed.wav,0,5,5,5,0,-1,-1,0,,,z,1.1289141250017565,Miss,1.3208339287024013,234567,001,2025-11-19_08-25-31,
present,0.7,trussel_compressed.wav,trussel,babble_66.wav,plakat_reversed.wav,misbrug_reversed.wav,0,6,6,6,0,-1,-1,0,,,z,1.3448750420066062,Miss,0.7372663767635815,234567,001,2025-11-19_08-25-31,
absent,0.4,SILENCE,NA,babble_58.wav,oprør_reversed.wav,nøgle_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,0.9525449579814449,Correct Rejection,1.258693827142749,234567,001,2025-11-19_08-25-31,
absent,0.2,SILENCE,NA,babble_55.wav,boble_reversed.wav,oprørt_reversed.wav,0,8,8,8,0,-1,-1,0,,,z,1.6023112919938285,Correct Rejection,0.5179085119599736,234567,001,2025-11-19_08-25-31,
absent,0.3,SILENCE,NA,babble_23.wav,himlen_reversed.wav,kedel_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,0.902422832994489,Correct Rejection,1.3931973891979788,234567,001,2025-11-19_08-25-31,
absent,0.6,SILENCE,NA,babble_51.wav,genert_reversed.wav,bange_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,1.762837208021665,Correct Rejection,0.8836843491445457,234567,001,2025-11-19_08-25-31,
absent,0.1,SILENCE,NA,babble_66.wav,leder_reversed.wav,tortur_reversed.wav,0,11,11,11,0,-1,-1,0,,,z,2.0059065830137115,Correct Rejection,1.3328094750091597,234567,001,2025-11-19_08-25-31,
present,0.2,intim_compressed.wav,intim,babble_35.wav,plakat_reversed.wav,trofæ_reversed.wav,0,12,12,12,0,-1,-1,0,,,m,2.3054330830054823,Hit,0.768676471963097,234567,001,2025-11-19_08-25-31,
present,0.6,spænding_compressed.wav,spænding,babble_0.wav,konkurs_reversed.wav,frygtsom_reversed.wav,0,13,13,13,0,-1,-1,0,,,z,0.8484714169753715,Miss,0.8715864517080951,234567,001,2025-11-19_08-25-31,
present,0.1,lyse_compressed.wav,lyse,babble_77.wav,lærer_reversed.wav,varme_reversed.wav,,,,,0,0,0,0,,,z,1.436150625027949,Miss,1.2892821030350634,234567,001,2025-11-19_08-25-31,
present,0.4,natur_compressed.wav,natur,babble_75.wav,selvmord_reversed.wav,fedme_reversed.wav,,,,,0,1,1,1,,,m,0.79764362500282,Hit,0.8814213029296627,234567,001,2025-11-19_08-25-31,
