signal_type,compression_level,prime_file,correct_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,thisRow.t,notes,response_key,rt,trial_outcome,babble_duration,Participant ID,Session,date,
absent,0.1,SILENCE,NA,bab5.wav,blodig_reversed.wav,feber_reversed.wav,0,0,0,0,0,-1,-1,0,,,z,7.538033834018279,Correct Rejection,0.9572696500365945,11,001,2025-11-11_13-51-32,
absent,0.6,SILENCE,NA,bab5.wav,fiasko_reversed.wav,kæle_reversed.wav,0,1,1,1,0,-1,-1,0,,,m,11.087791415979154,False Alarm,1.2688286299597253,11,001,2025-11-11_13-51-32,
absent,0.5,SILENCE,NA,bab3.wav,gave_reversed.wav,cirkus_reversed.wav,0,2,2,2,0,-1,-1,0,,,m,0.6185612500121351,False Alarm,0.9855524916260625,11,001,2025-11-11_13-51-32,
absent,0.3,SILENCE,NA,bab7.wav,gidsel_reversed.wav,affald_reversed.wav,0,3,3,3,0,-1,-1,0,,,m,0.7474935000063851,False Alarm,0.8569110740558136,11,001,2025-11-11_13-51-32,
absent,0.8,SILENCE,NA,bab3.wav,ære_reversed.wav,avis_reversed.wav,0,4,4,4,0,-1,-1,0,,,z,4.089663874998223,Correct Rejection,0.8889975753653314,11,001,2025-11-11_13-51-32,
absent,0.7,SILENCE,NA,bab9.wav,dæmon_reversed.wav,humor_reversed.wav,0,5,5,5,0,-1,-1,0,,,m,1.6690823749813717,False Alarm,1.0892759606317326,11,001,2025-11-11_13-51-32,
present,0.3,grimme_compressed.wav,grimme,bab6.wav,forfald_reversed.wav,jubel_reversed.wav,0,6,6,6,0,-1,-1,0,,,z,1.9070477920176927,Miss,0.7366239610009695,11,001,2025-11-11_13-51-32,
present,0.1,vindue_compressed.wav,vindue,bab4.wav,affald_reversed.wav,genert_reversed.wav,0,7,7,7,0,-1,-1,0,,,z,0.9939322499849368,Miss,1.07551715301256,11,001,2025-11-11_13-51-32,
present,0.2,opstemt_compressed.wav,opstemt,bab6.wav,jubel_reversed.wav,beundret_reversed.wav,0,8,8,8,0,-1,-1,0,,,m,1.180993749992922,Hit,0.6854227447797296,11,001,2025-11-11_13-51-32,
present,0.8,cirkel_compressed.wav,cirkel,bab2.wav,djævel_reversed.wav,genert_reversed.wav,0,9,9,9,0,-1,-1,0,,,z,3.136702875024639,Miss,1.2044900105542853,11,001,2025-11-11_13-51-32,
present,0.7,albue_compressed.wav,albue,bab9.wav,genert_reversed.wav,frygtsom_reversed.wav,0,10,10,10,0,-1,-1,0,,,z,1.6452059159928467,Miss,1.3690458020346525,11,001,2025-11-11_13-51-32,
